FieldsBase Project Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:10 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Field,Operator,Status,Development scheme,Production start date,Water depth (m),Remark
Offshore Novorossiysk 2002,,,,,Caspian Pipeline,Completed,Infrastructure,1 Jun 2002,60,
Offshore SPM,,,,,CPC,Completed,Infrastructure,1 Jul 1993,32,
Offshore Thailand Fields,,,,,Chevron,Completed,Other,1 Jul 1984,64,
Oman Oil Terminal Phase 1,,,,,Oman Tank Terminal Company,Tendering,Infrastructure,15 Dec 2017,,
Onsan Port,,,,,,Completed,Infrastructure,1 Jun 1978,27,
Onshore,,,,,Saudi Aramco,Completed,Infrastructure,1 Jul 1995,2,
Onshore As Saluyeh gas treatment plant,,,,,ENAP,Completed,Infrastructure,1 Jul 2002,23,
Orimulsion Beach Pull,,,,,Corpoven,Completed,Infrastructure,1 Jul 1994,14,
Paradip Refinery,,,,,Indian Oil Corporation,Construction,Infrastructure,25 Dec 2014,,"07/14: Refinery faced multiple delays; new start up date in Dec 2014.
06/13: Paradip refinery expected to start up in Sept 2013."
Pengerang Petroleum Terminal,,,,,Vopak,Construction,Infrastructure,31 Aug 2017,,"09/14: Scheduled for completion in 2017
12/13: Commissioning expected for Q2 2014.
06/11: Govt approved, first phase EPCC awarded to Dialog Group.The terminal will be developed on continuous onshore and seabed located between Tanjung Ayam and Tanjung Kapal in Pengerang, with harbor port, jetty and other marine facilities up to 26msw (85.3fsw). This first phase terminal will have an initial storage capacity of approximately 1.3 million cubic meters and six vessel berths, be capable of handling up to Ultra Large Crude Carriers, and be equipped with tankage facilities for the handling, storage, processing and distribution of crude oil and oil products. 01/11: 500-acre terminal, water depth at deepest 26 msw"
Perdido - IRM,,,,Perdido,Shell,Operational,Other,31 Dec 2020,"2,838",
Peterhead CCS,,,,,Shell,Planned,Subsea,24 Oct 2019,75,"10/14: Agreement signed between Shell and UK Government in February 2014. Project now in FEED phase, expected to last through 2014 and 2015. 

Shell and SSE developing full-scale carbon capture and storage  (CCS) project. CO2 captured from Peterhead Power Station transported by pipeline offshore for long-term storage in North Sea."
Platform BNDP-B,,,,,Sarawak Shell,Completed,Infrastructure,1 Jul 1986,76,
Platform BNDP-B,,,,,Sarawak Shell,Completed,Infrastructure,1 Jul 1986,76,
Platform BNJT-C,,,,,Sarawak Shell,Completed,Infrastructure,1 Jul 1985,,
Platform BNJT-F,,,,,Sarawak Shell,Completed,Infrastructure,1 Jul 1986,76,
Platform CPP,,,,,Maxus,Completed,Infrastructure,1 Jul 1999,55,
Platform DA-1,,,,,ENAP,Completed,Infrastructure,1 Jul 1990,30,
Platform GA-1,,,,,ADOC,Completed,Infrastructure,1 Jul 1995,3,
Platform GG-2,,,,,ADNOC,Completed,Infrastructure,1 Jul 1986,15,
Platform GSH,,,,,Chevron,Completed,Infrastructure,1 Jul 1985,,
Platform GUA,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1991,,
Platform PB,,,,,ZADCO,Completed,Infrastructure,1 Jul 1995,19,
Platform WLM-F,,,,,Sarawak Shell,Completed,Infrastructure,1 Jul 1987,15,
Platform WLM-F,,,,,Sarawak Shell,Completed,Infrastructure,1 Jul 1987,15,
PNG Port Moresby,,,,,ExxonMobil,Completed,Infrastructure,15 Jun 2014,,
Polo Industrial de Guamare UPGN,,,,,,Operational,Infrastructure,1 Jan 1983,,
Port Ouest terminal,,,,,Gaz de France,Completed,Infrastructure,6 Jul 1998,,"receiving terminal at Port Ouest in Dunkirk. connected to the Franpipe pipeline running from the Draupner E riser platform. Established jointly by Gassled and Gaz de France, this facility was completed in the summer of 1998 and is owned by Franpipe. The terminal is remotely operated from the Zeebrugge facility."
Puerto Rico 2nd FSRU,,,,,PREPA,Planned,Infrastructure,1 Mar 2016,21,3/11 a second FSRU planned to supply northern coast w/LNG
Quintero Bay,,,,,,Completed,Infrastructure,1 Jun 1971,47,
Refinery onshore at Ulsan,,,,,Yukong,Completed,Infrastructure,1 Jul 1996,13,
Removal of Gas Concord FSO,,,,Belanak,ConocoPhillips,Cancelled,Other,1 Nov 2012,90,"02/13: No further news as FSO lease extended until end 2013.
8/11 removal of Gas Concord FSO from Belanak to be replaced by new FSO. removal of subsea, and topside facilities currently tendering"
Safaniyah,,,,Safaniyah,,Completed,Fixed,1 Jun 1961,,
San Pedro de Marcoris LNG,,,,,,Planned,Infrastructure,1 Mar 2017,,"Complejo GNL del Este, a Consortium formed by Dominican and Colombian companies that participate in the energy sector of these countries looking into a LNG receiving terminal and jetty."
Scotland,,,,,Bord Gais,Completed,Infrastructure,1 Jul 2002,65,
Seafarer Pipeline,,,,,,Cancelled,Infrastructure,1 Jan 2005,,El paso increase capacity of pipeline from grand bahama is. To flor 10/06 cancelled due to environmental issues and insuff. Shippers.
Shanghai LNG import terminal,,,,,CNOOC,Completed,Infrastructure,15 Jun 2009,,
Shore,,,,,Saudi Aramco,Completed,Infrastructure,1 Jul 1992,5,
Shore,,,,,Saudi Aramco,Completed,Infrastructure,1 Jul 1992,3,
Shore,,,,,CXY Energy (A),Completed,Infrastructure,1 Jul 1993,23,
Shore,,,,,SOCAR,Completed,Infrastructure,1 Jul 1980,120,
Shore,,,,,CPC,Completed,Infrastructure,1 Jul 1991,16,
Shore,,,,,CXY Energy (A),Completed,Infrastructure,1 Jul 1993,23,
