FieldsBase Project Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:10 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Field,Operator,Status,Development scheme,Production start date,Water depth (m),Remark
South Padre 1066-L,"USA, Gulf of Mexico",USA,South Padre Is - 1066-L,South Padre 1066-L,ExxonMobil,Completed,Fixed,1 Jul 1984,17,
South Padre 1073,"USA, Gulf of Mexico",USA,South Padre Is - 1073,South Padre 1073,Prime Offshore,Completed,Fixed,1 Jul 2007,40,
South Padre 1111,"USA, Gulf of Mexico",USA,South Padre Is - 1111,South Padre 1111,Prime Offshore,Completed,Fixed,30 Nov 2008,29,
South Padre 1113,"USA, Gulf of Mexico",USA,South Padre Is - 1113,South Padre 1113,"F-W Oil Exploration, Prime Offshore",Completed,Fixed,1 Jul 2006,39,
South Padre 1133,"USA, Gulf of Mexico",USA,South Padre Is - 1133,South Padre 1133,Prime Offshore,Completed,Fixed,1 Jul 2007,39,
South Padre 1145,"USA, Gulf of Mexico",USA,South Padre Is - 1145,South Padre 1145,Prime Offshore,Completed,Fixed,1 Aug 2005,24,
South Padre 1166,"USA, Gulf of Mexico",USA,South Padre Is - 1166,South Padre 1166,Prime Offshore,Completed,Fixed,1 Jan 2005,29,
South Pass 1-L,"USA, Gulf of Mexico",USA,South Pass - 1-L,South Pass 1-L,Devon Energy,Completed,Infrastructure,1 Jul 1996,3,
South Pass 27,"USA, Gulf of Mexico",USA,"South Pass - 27, South Pass - 28",South Pass 27,"Devon Energy, Energy Partners, Shell",Completed,Fixed,1 Jul 1958,13,
South Pass 28,"USA, Gulf of Mexico",USA,South Pass - 28,South Pass 28,"Devon Energy, Shell",Completed,Fixed,1 Jul 1975,12,
South Pass 31,"USA, Gulf of Mexico",USA,South Pass - 31,South Pass 31,Devon Energy,Completed,Infrastructure,1 Jul 1999,9,
South Pass 37,"USA, Gulf of Mexico",USA,South Pass - 37,South Pass 37,"Chevron, Hughes Eastern, Hunt Oil",Completed,Fixed,1 Jul 1961,34,
South Pass 38,"USA, Gulf of Mexico",USA,South Pass - 38,South Pass 38,Stone Energy,Completed,Fixed,1 Jul 2001,34,
South Pass 39,"USA, Gulf of Mexico",USA,South Pass - 39,South Pass 39,Devon Energy,Completed,Fixed,1 Jul 1996,18,
South Pass 41,"USA, Gulf of Mexico",USA,South Pass - 41,South Pass 41,Samedan,Completed,Fixed,1 Jul 1989,14,
South Pass 42-L,"USA, Gulf of Mexico",USA,South Pass - 42-L,South Pass 42-L,"Samedan, Shell",Completed,Fixed,1 Jul 1981,27,
South Pass 42-L 1997,"USA, Gulf of Mexico",USA,South Pass - 42-L,South Pass 42-L,"Samedan, Shell",Completed,Fixed,1 Jul 1997,27,
South Pass 45,"USA, Gulf of Mexico",USA,South Pass - 45,South Pass 45,"Eni, GOM Shelf, Oxy Petroleum, Inc., Tennessee Gas Pipeline",Completed,Fixed,1 Jul 1986,58,
South Pass 47,"USA, Gulf of Mexico",USA,South Pass - 47,South Pass 47,Samedan,Completed,Fixed,1 Jul 1995,68,
South Pass 48,"USA, Gulf of Mexico",USA,South Pass - 48,South Pass 48,"Chevron, Unocal",Completed,Fixed,1 Jul 1980,79,
South Pass 49,"USA, Gulf of Mexico",USA,"Miss Canyon - 63, South Pass - 48, South Pass - 49",South Pass 49,Chevron,Completed,Fixed,1 Jul 1983,98,
South Pass 49,"USA, Gulf of Mexico",USA,"Miss Canyon - 63, South Pass - 48, South Pass - 49",South Pass 49,"Energy XXI, Maritech Resources, Tennessee Gas Pipeline",Completed,Fixed,1 Jul 1979,98,
South Pass 49 pipeline 2010,"USA, Gulf of Mexico",USA,"Miss Canyon - 63, South Pass - 48, South Pass - 49",South Pass 49,Energy XXI,Completed,Fixed,22 Feb 2010,98,"8-5/8-inch pipeline, 4.06 miles in length, to transport gas from Platform A in South Pass Area Block 49 through South Pass Area Block 50 to a 12-inch subsea tie-in in Mississippi Canyon Area Block 151."
South Pass 52,"USA, Gulf of Mexico",USA,South Pass - 52,South Pass 52,"BP, Vastar (A)",Completed,Fixed,1 Jul 1991,162,
South Pass 54,"USA, Gulf of Mexico",USA,"South Pass - 54, South Pass - 55",South Pass 54,"Chevron, Tennessee Gas Pipeline",Completed,Fixed,1 Jul 1970,82,
South Pass 55,"USA, Gulf of Mexico",USA,South Pass - 55,South Pass 55,Tennessee Gas Pipeline,Completed,Infrastructure,1 Jul 1980,79,
South Pass 56,"USA, Gulf of Mexico",USA,South Pass - 56,South Pass 56,Chevron,Completed,Fixed,1 Jul 1979,70,
South Pass 57,"USA, Gulf of Mexico",USA,South Pass - 57,South Pass 57,"Chevron, Columbia Gulf Transmission Company, Devon Energy",Completed,Fixed,1 Jul 1979,64,
South Pass 57 Removal,"USA, Gulf of Mexico",USA,South Pass - 57,South Pass 57,"Chevron, Devon Energy",Completed,Fixed,29 Jul 2011,64,
South Pass 58,"USA, Gulf of Mexico",USA,South Pass - 58,South Pass 58,Chevron,Completed,Fixed,1 Jul 1981,55,
South Pass 6,"USA, Gulf of Mexico",USA,South Pass - 6,South Pass 6,Vastar (A),Completed,Infrastructure,1 Jul 1983,6,
South Pass 60,"USA, Gulf of Mexico",USA,South Pass - 60,South Pass 60,"BP, Sonat Exploration, Vastar (A)",Completed,Fixed,1 Jul 1977,59,
South Pass 61,"USA, Gulf of Mexico",USA,"South Pass - 60, South Pass - 61, South Pass - 67, South Pass - 70",South Pass 61,"BP, Devon Energy, Gulf Energy",Completed,Fixed,1 Jul 1971,70,
South Pass 62,"USA, Gulf of Mexico",USA,"South Pass - 62, Viosca Knoll - 899, Viosca Knoll - 900",South Pass 62,"Apache, Shell",Completed,Fixed,1 Jul 1967,100,
South Pass 65,"USA, Gulf of Mexico",USA,"Main Pass - 153, South Pass - 65",South Pass 65,Shell,Completed,Fixed,1 Jul 1969,100,
South Pass 65,"USA, Gulf of Mexico",USA,"Main Pass - 153, South Pass - 65",South Pass 65,Devon Energy,Completed,Fixed,1 Jul 1970,100,
South Pass 66-L,"USA, Gulf of Mexico",USA,South Pass - 66-L,South Pass 66-L,Tennessee Gas Pipeline,Completed,Infrastructure,1 Jul 1977,6,
South Pass 67,"USA, Gulf of Mexico",USA,South Pass - 67,South Pass 67,"BP, Vastar (A)",Completed,Fixed,1 Jul 1982,79,
South Pass 70,"USA, Gulf of Mexico",USA,South Pass - 70,South Pass 70,"Apache, Shell",Completed,Fixed,1 Jul 1977,88,
South Pass 72,"USA, Gulf of Mexico",USA,South Pass - 72,South Pass 72,"ConocoPhillips, W & T Offshore",Completed,Fixed,1 Jul 1996,80,
South Pass 75,"USA, Gulf of Mexico",USA,South Pass - 75,South Pass 75,"ConocoPhillips, GOM Shelf",Completed,Fixed,1 Jul 1985,109,
South Pass 77,"USA, Gulf of Mexico",USA,South Pass - 77,South Pass 77,"Chevron, Columbia Gulf Transmission Company, Tennessee Gas Pipeline",Completed,Fixed,1 Jul 1976,72,
South Pass 78,"USA, Gulf of Mexico",USA,"South Pass - 56, South Pass - 57, South Pass - 58, South Pass - 77, South Pass - 78",South Pass 78,"Chevron, Devon Energy, Maritech Resources, Natural Gas Pipeline Company",Completed,Fixed,1 Jul 1977,72,
South Pass 82,"USA, Gulf of Mexico",USA,South Pass - 82,South Pass 82,BP,Completed,Fixed,1 Jul 1990,162,
South Pass 83,"USA, Gulf of Mexico",USA,South Pass - 83,South Pass 83,"Arena Offshore, LLC",Completed,Fixed,1 Jul 1990,142,
South Pass 86,"USA, Gulf of Mexico",USA,South Pass - 86,South Pass 86,"Marathon, Texas Eastern",Completed,Infrastructure,1 Jul 1992,118,
South Pass 87,"USA, Gulf of Mexico",USA,South Pass - 87,South Pass 87,Apache,Completed,Infrastructure,1 Jul 1994,110,
South Pass 89,"USA, Gulf of Mexico",USA,"South Pass - 87, South Pass - 89, South Pass - 93",South Pass 89,"BP, Devon Energy, ExxonMobil, Marathon, Proteus Oil P/L Co., Texas Eastern",Completed,Fixed,1 Oct 2006,146,
South Pass 93,"USA, Gulf of Mexico",USA,South Pass - 93,South Pass 93,"ExxonMobil, Texas Eastern",Completed,Fixed,1 Jul 1977,134,
South Pelto 1,"USA, Gulf of Mexico",USA,South Pelto - 1,South Pelto 1,"Apache, Comstock Resources, Transcontinental Gas Pipeline",Completed,Fixed,1 Jul 1980,6,
South Pelto 1-L,"USA, Gulf of Mexico",USA,South Pelto - 1-L,South Pelto 1-L,Comstock Resources,Completed,Infrastructure,1 Jul 1999,9,
South Pelto 10,"USA, Gulf of Mexico",USA,"Ship Shoal - 68, South Pelto - 10",South Pelto 10,"Apache, ExxonMobil, Transcontinental Gas Pipeline",Completed,Fixed,1 Jul 1976,11,
South Pelto 11,"USA, Gulf of Mexico",USA,South Pelto - 11,South Pelto 11 (+ South Pelto 20),"ExxonMobil, Vastar (A)",Completed,Fixed,1 Jul 1979,11,
South Pelto 12,"USA, Gulf of Mexico",USA,South Pelto - 12,South Pelto 12,"ANR Pipeline, Mesa, Murphy, Pioneer, Transcontinental Gas Pipeline, Wesco Pipe Line Company",Completed,Fixed,1 Jul 1979,10,
South Pelto 13,"USA, Gulf of Mexico",USA,South Pelto - 13,South Pelto 13,"Mesa, Pioneer, Sonat Exploration, Transcontinental Gas Pipeline",Completed,Fixed,1 Jul 1978,11,
South Pelto 15,"USA, Gulf of Mexico",USA,South Pelto - 15,South Pelto 15,"Anadarko, Energy Partners",Completed,Fixed,1 Jul 1993,14,
South Pelto 15 Decommissioning,"USA, Gulf of Mexico",USA,South Pelto - 15,South Pelto 15,"Anadarko, Energy Partners",Completed,Fixed,15 Nov 2011,14,
South Pelto 17,"USA, Gulf of Mexico",USA,South Pelto - 17,South Pelto 17,Energy Partners,Completed,Fixed,1 Jul 2000,18,
South Pelto 18,"USA, Gulf of Mexico",USA,South Pelto - 18,South Pelto 18,"ANR Pipeline, Energy Partners, Mesa, Pioneer, Wesco Pipe Line Company",Completed,Fixed,1 Jul 1980,16,
South Pelto 19,"USA, Gulf of Mexico",USA,South Pelto - 19,South Pelto 19,"Bois D'Arc Resources, Murphy",Completed,Fixed,1 Jul 1975,11,
South Pelto 2,"USA, Gulf of Mexico",USA,South Pelto - 2,South Pelto 2,"Anadarko, Apache, Shell, Tenneco, Texas Gas",Completed,Fixed,1 Jul 1984,9,
South Pelto 20,"USA, Gulf of Mexico",USA,"South Pelto - 11, South Pelto - 12, South Pelto - 19, South Pelto - 20",South Pelto 20,"Apache, Murphy, ODECO",Completed,Fixed,1 Jul 1955,10,
South Pelto 22,"USA, Gulf of Mexico",USA,South Pelto - 22,South Pelto 22,Bois D'Arc Resources,Completed,Fixed,1 Jul 2004,17,
South Pelto 23,"USA, Gulf of Mexico",USA,"South Pelto - 23, South Timbalier - 72",South Pelto 23,Stone Energy,Completed,Fixed,1 Jul 1962,18,
South Pelto 23,"USA, Gulf of Mexico",USA,"South Pelto - 23, South Timbalier - 72",South Pelto 23,"Stone Energy, Trunkline Gas Company",Completed,Fixed,1 Jul 1963,18,
South Pelto 23 - 2011 Pipelines,"USA, Gulf of Mexico",USA,South Pelto - 23,South Pelto 23,Stone Energy,Completed,Fixed,1 May 2011,18,
South Pelto 25,"USA, Gulf of Mexico",USA,South Pelto - 25,South Pelto 25,"Arena Offshore, LLC, Shell",Completed,Fixed,1 Jul 1997,19,
South Pelto 5,"USA, Gulf of Mexico",USA,"South Pelto - 5, South Timbalier - 11",South Pelto 5,"Bois D'Arc Resources, El Paso, Sonat Exploration",Completed,Fixed,1 Jul 1995,10,
South Pelto 6,"USA, Gulf of Mexico",USA,South Pelto - 6,South Pelto 6,Walter Oil & Gas,Completed,Fixed,1 Jul 1993,13,
South Pelto 9,"USA, Gulf of Mexico",USA,South Pelto - 9,South Pelto 9,"ExxonMobil, Newfield Exploration",Completed,Fixed,1 Jul 1980,11,
South Timbalier 100,"USA, Gulf of Mexico",USA,South Timbalier - 100,South Timbalier 100,Stone Energy,Completed,Fixed,1 Jul 1985,17,
South Timbalier 102,"USA, Gulf of Mexico",USA,South Timbalier - 102,South Timbalier 102,Stone Energy,Completed,Fixed,2 Feb 2009,21,
South Timbalier 102 Removal,"USA, Gulf of Mexico",USA,South Timbalier - 102,South Timbalier 102,Stone Energy,Completed,Fixed,30 Jun 2010,21,
South Timbalier 106,"USA, Gulf of Mexico",USA,South Timbalier - 106,South Timbalier 106,Wayman Buchanan,Completed,Infrastructure,1 Jul 1990,18,
South Timbalier 107,"USA, Gulf of Mexico",USA,South Timbalier - 107,South Timbalier 107,"Century Offshore Management, Newfield Exploration, Wayman Buchanan",Completed,Fixed,1 Jul 1990,22,
South Timbalier 11,"USA, Gulf of Mexico",USA,South Timbalier - 11,South Timbalier 11,Stone Energy,Completed,Fixed,1 Jul 1999,9,
South Timbalier 111,"USA, Gulf of Mexico",USA,"South Timbalier - 100, South Timbalier - 111, South Timbalier - 112",South Timbalier 111,Stone Energy,Completed,Fixed,1 Jul 1994,35,
South Timbalier 112,"USA, Gulf of Mexico",USA,South Timbalier - 112,South Timbalier 112,Offshore Production & Salvage,Completed,Fixed,1 Jul 1995,18,
South Timbalier 12,"USA, Gulf of Mexico",USA,South Timbalier - 12,South Timbalier 12,Chevron,Completed,Infrastructure,1 Jul 1996,4,
South Timbalier 125,"USA, Gulf of Mexico",USA,South Timbalier - 125,South Timbalier 125,EPL Oil & Gas Inc,Planned,Fixed,27 Feb 2015,32,
South Timbalier 128,"USA, Gulf of Mexico",USA,South Timbalier - 128,South Timbalier 128,Chevron,Completed,Fixed,1 Jul 1982,31,
South Timbalier 130,"USA, Gulf of Mexico",USA,South Timbalier - 130,South Timbalier 130,Chevron,Completed,Fixed,1 Jul 1980,50,
South Timbalier 131,"USA, Gulf of Mexico",USA,"Grand Isle - 85, Grand Isle - 86, South Timbalier - 130, South Timbalier - 131",South Timbalier 131,Chevron,Completed,Fixed,1 Jul 1958,48,
South Timbalier 131,"USA, Gulf of Mexico",USA,"Grand Isle - 85, Grand Isle - 86, South Timbalier - 130, South Timbalier - 131",South Timbalier 131,Chevron,Completed,Fixed,1 Jul 1967,48,
South Timbalier 134,"USA, Gulf of Mexico",USA,South Timbalier - 134,South Timbalier 134,Chevron,Completed,Fixed,1 Jul 1980,42,
South Timbalier 135,"USA, Gulf of Mexico",USA,"South Timbalier - 128, South Timbalier - 134, South Timbalier - 135, South Timbalier - 136, South Timbalier - 151, South Timbalier - 152",South Timbalier 135,"Chevron, Gulf Energy",Completed,Fixed,1 Jul 1956,34,
South Timbalier 136,"USA, Gulf of Mexico",USA,South Timbalier - 136,South Timbalier 136,"Great Western, North Central Oil",Completed,Fixed,1 Jul 1993,28,
South Timbalier 138,"USA, Gulf of Mexico",USA,South Timbalier - 138,South Timbalier 138,ERT,Completed,Fixed,1 Jul 2005,27,
South Timbalier 139,"USA, Gulf of Mexico",USA,South Timbalier - 139,South Timbalier 139,Anadarko,Completed,Infrastructure,1 Jul 2000,19,
South Timbalier 140,"USA, Gulf of Mexico",USA,South Timbalier - 140,South Timbalier 140,JFD,Completed,Fixed,1 Jul 1975,27,
South Timbalier 143,"USA, Gulf of Mexico",USA,South Timbalier - 143,South Timbalier 143,"Anadarko, Apache, Energy Partners",Completed,Fixed,1 Jul 1990,23,
South Timbalier 144,"USA, Gulf of Mexico",USA,South Timbalier - 144,South Timbalier 144,"Energy Partners, Hughes Eastern, Unocal",Completed,Fixed,1 Jul 1989,27,
South Timbalier 145,"USA, Gulf of Mexico",USA,South Timbalier - 145,South Timbalier 145,"ERT, Vastar (A), W & T Offshore",Completed,Fixed,1 Jul 1995,25,
South Timbalier 146,"USA, Gulf of Mexico",USA,"South Timbalier - 146, South Timbalier - 147",South Timbalier 146,"Barrett Resources (A), ConocoPhillips, Delmar, ERT, Koch",Completed,Fixed,1 Jul 1979,26,
South Timbalier 147,"USA, Gulf of Mexico",USA,South Timbalier - 147,South Timbalier 147,"Chevron, Samedan",Completed,Fixed,1 Jul 1987,18,
South Timbalier 148,"USA, Gulf of Mexico",USA,South Timbalier - 148,South Timbalier 148,"Chevron, ConocoPhillips, Newfield Exploration",Completed,Fixed,1 Jul 1977,31,
South Timbalier 15,"USA, Gulf of Mexico",USA,South Timbalier - 15,South Timbalier 15,BP,Completed,Fixed,1 Jul 1964,2,
South Timbalier 151,"USA, Gulf of Mexico",USA,South Timbalier - 151,South Timbalier 151 (+ South Timbalier 135),Chevron,Completed,Fixed,1 Jul 1987,44,
South Timbalier 156,"USA, Gulf of Mexico",USA,South Timbalier - 156,South Timbalier 156,"BP, EOG, Trunkline Gas Company",Completed,Fixed,1 Jul 1978,53,
South Timbalier 157,"USA, Gulf of Mexico",USA,South Timbalier - 157,South Timbalier 157,Newfield Exploration,Completed,Fixed,1 Jul 1991,16,
South Timbalier 160,"USA, Gulf of Mexico",USA,South Timbalier - 160,South Timbalier 160,BP,Completed,Fixed,1 Jul 1988,34,
South Timbalier 161,"USA, Gulf of Mexico",USA,South Timbalier - 161,South Timbalier 161,"Arena Offshore, LLC, BP",Completed,Fixed,1 Jul 1980,37,
South Timbalier 162,"USA, Gulf of Mexico",USA,South Timbalier - 162,South Timbalier 162,El Paso,Completed,Fixed,1 Jul 2000,35,
South Timbalier 163,"USA, Gulf of Mexico",USA,South Timbalier - 163,South Timbalier 163,Noble Energy,Completed,Fixed,1 Jul 1976,32,
South Timbalier 164,"USA, Gulf of Mexico",USA,South Timbalier - 164,South Timbalier 164,ExxonMobil,Completed,Fixed,1 Jul 1978,30,
South Timbalier 165,"USA, Gulf of Mexico",USA,South Timbalier - 165,South Timbalier 165,"Anadarko, ExxonMobil, Trunkline Gas Company",Completed,Fixed,1 Jul 1980,28,
South Timbalier 169,"USA, Gulf of Mexico",USA,South Timbalier - 169,South Timbalier 169,"Chevron, Tenneco",Completed,Subsea,1 Jul 1980,30,
South Timbalier 170,"USA, Gulf of Mexico",USA,South Timbalier - 170,South Timbalier 170,"Anadarko, ExxonMobil, Trunkline Gas Company",Completed,Fixed,1 Jul 1981,30,
South Timbalier 171,"USA, Gulf of Mexico",USA,South Timbalier - 171,South Timbalier 171,"Anadarko, ExxonMobil, KOGAS",Completed,Fixed,1 Jul 1977,31,
South Timbalier 172,"USA, Gulf of Mexico",USA,"South Timbalier - 143, South Timbalier - 144, South Timbalier - 164, South Timbalier - 165, South Timbalier - 171, South Timbalier - 172, South Timbalier - 173, South Timbalier - 192, South Timbalier - 193, South Timbalier - 194",South Timbalier 172,"Anadarko, Apache, Chevron, ExxonMobil, Mariner Energy, Samedan",Completed,Fixed,1 Jul 1965,30,
South Timbalier 173,"USA, Gulf of Mexico",USA,South Timbalier - 173,South Timbalier 173,"Agip, Mariner Energy",Completed,Fixed,1 Jul 1993,34,
South Timbalier 175,"USA, Gulf of Mexico",USA,South Timbalier - 175,South Timbalier 175,Devon Energy,Completed,Fixed,1 Jul 1987,39,
South Timbalier 176,"USA, Gulf of Mexico",USA,"South Timbalier - 148, South Timbalier - 160, South Timbalier - 161, South Timbalier - 162, South Timbalier - 175, South Timbalier - 176, South Timbalier - 177, South Timbalier - 188",South Timbalier 176,"Apache, BP, Chevron, El Paso, Newfield Exploration, Tri-Union (A), Trunkline Gas Company",Completed,Fixed&SS,1 Jul 1963,39,
South Timbalier 177,"USA, Gulf of Mexico",USA,South Timbalier - 177,South Timbalier 177,Chevron,Completed,Fixed,1 Feb 1965,43,
South Timbalier 178,"USA, Gulf of Mexico",USA,South Timbalier - 178,South Timbalier 178,"Devon Energy, Santa Fe Snyder",Completed,Fixed,1 Jul 1996,47,
South Timbalier 179,"USA, Gulf of Mexico",USA,South Timbalier - 179,South Timbalier 179,"Devon Energy, Santa Fe Snyder",Completed,Fixed,1 Jul 1997,49,
South Timbalier 182,"USA, Gulf of Mexico",USA,South Timbalier - 182,South Timbalier 182,"BP, Vastar (A)",Completed,Fixed,1 Jul 1998,59,
South Timbalier 185,"USA, Gulf of Mexico",USA,"South Timbalier - 185, South Timbalier - 186",South Timbalier 185,"ConocoPhillips, Energy Partners, Samedan, Transcontinental Gas Pipeline",Completed,Fixed,1 Jul 1967,52,
South Timbalier 186,"USA, Gulf of Mexico",USA,"South Timbalier - 179, South Timbalier - 186",South Timbalier 186,"Chevron, Devon Energy, Occidental, Samedan, Santa Fe Snyder",Completed,Fixed,1 Jul 1967,52,
South Timbalier 187,"USA, Gulf of Mexico",USA,South Timbalier - 187,South Timbalier 187,Hess,Completed,Fixed,30 Dec 2003,15,
South Timbalier 188,"USA, Gulf of Mexico",USA,South Timbalier - 188,South Timbalier 188,"Chevron, Reliance",Completed,Fixed,31 May 2007,46,
South Timbalier 189,"USA, Gulf of Mexico",USA,South Timbalier - 189,South Timbalier 189,Chevron,Completed,Fixed,15 Jun 2004,44,
South Timbalier 19-L,"USA, Gulf of Mexico",USA,South Timbalier - 19,South Timbalier 19-L,Tenneco,Completed,Infrastructure,1 Jul 1979,6,
South Timbalier 190,"USA, Gulf of Mexico",USA,"South Timbalier - 190, South Timbalier - 203",South Timbalier 190,"Chevron, ConocoPhillips, Offshore Energy, Trunkline Gas Company",Completed,Fixed,1 Jul 1977,43,
South Timbalier 192,"USA, Gulf of Mexico",USA,South Timbalier - 192,South Timbalier 192,"Chevron, Samedan",Completed,Fixed,1 Jul 1982,37,
South Timbalier 193,"USA, Gulf of Mexico",USA,South Timbalier - 193,South Timbalier 193,Newfield Exploration,Completed,Fixed,30 Dec 2003,12,
South Timbalier 194,"USA, Gulf of Mexico",USA,South Timbalier - 194,South Timbalier 194,"Apache, Newfield Exploration",Completed,Fixed,1 Jul 1992,35,
South Timbalier 195,"USA, Gulf of Mexico",USA,South Timbalier - 195,South Timbalier 195,"Chevron, Samedan",Completed,Fixed,1 Jul 1981,34,
South Timbalier 196,"USA, Gulf of Mexico",USA,"South Timbalier - 170, South Timbalier - 195, South Timbalier - 196",South Timbalier 196,"Anadarko, Chevron, Equitable Production, Samedan",Completed,Fixed,1 Jul 1971,33,
South Timbalier 196 2010 Removal,"USA, Gulf of Mexico",USA,"South Timbalier - 170, South Timbalier - 195, South Timbalier - 196",South Timbalier 196,"Chevron, Equitable Production, Samedan",Completed,Fixed,13 Jul 2010,33,
South Timbalier 197,"USA, Gulf of Mexico",USA,South Timbalier - 197,South Timbalier 197,"Anadarko, Samedan",Completed,Fixed,1 Jul 1990,37,
South Timbalier 198,"USA, Gulf of Mexico",USA,South Timbalier - 198,South Timbalier 198,"Anadarko, Transcontinental Gas Pipeline, William G. Helis",Completed,Fixed,1 Jul 1989,39,
South Timbalier 200,"USA, Gulf of Mexico",USA,"South Timbalier - 200, South Timbalier - 212",South Timbalier 200,"Hilcorp Energy, Sabine Pipeline",Completed,Fixed,1 Jul 1983,40,
South Timbalier 200 IRM,"USA, Gulf of Mexico",USA,"South Timbalier - 200, South Timbalier - 212",South Timbalier 200,Hilcorp Energy,Working,Other,13 Aug 2018,40,
South Timbalier 203,"USA, Gulf of Mexico",USA,South Timbalier - 203,South Timbalier 203,Chevron,Completed,Fixed,1 Jul 1991,43,
South Timbalier 204,"USA, Gulf of Mexico",USA,South Timbalier - 204,South Timbalier 204,"BP, El Paso",Completed,Fixed,1 Jul 1999,47,
South Timbalier 205,"USA, Gulf of Mexico",USA,South Timbalier - 205,South Timbalier 205 (+ South Timbalier 206),"Anadarko, Hess",Completed,Fixed,1 Jul 1989,48,
South Timbalier 206,"USA, Gulf of Mexico",USA,"South Timbalier - 205, South Timbalier - 206",South Timbalier 206,"Anadarko, Apache, Hess",Completed,Fixed,1 Jul 1989,59,
South Timbalier 21,"USA, Gulf of Mexico",USA,"South Timbalier - 21, South Timbalier - 22, South Timbalier - 27, South Timbalier - 28",South Timbalier 21,"Chevron, Energy XXI, J M Huber, Marlin Energy, Tenneco",Completed,Fixed,1 Jul 1956,12,
South Timbalier 21 - Removal,"USA, Gulf of Mexico",USA,"South Timbalier - 21, South Timbalier - 22, South Timbalier - 27, South Timbalier - 28",South Timbalier 21 (+ South Timbalier 27),"Chevron, Energy XXI, J M Huber, Marlin Energy, Tenneco",Working,Fixed,31 Dec 2014,12,
South Timbalier 211,"USA, Gulf of Mexico",USA,South Timbalier - 211,South Timbalier 211,"IP Petroleum, William G. Helis",Completed,Fixed,1 Jul 1997,46,
South Timbalier 212,"USA, Gulf of Mexico",USA,South Timbalier - 212,South Timbalier 212,"El Paso, Hydro (A), IP Petroleum",Completed,Fixed,1 Jul 1999,44,
South Timbalier 214,"USA, Gulf of Mexico",USA,South Timbalier - 214,South Timbalier 214,El Paso,Cancelled,Fixed,1 Jul 2009,42,Plans cancelled. El Paso has designated Probe operator of block.
South Timbalier 217,"USA, Gulf of Mexico",USA,South Timbalier - 217,South Timbalier 217,Eni,Completed,Fixed,1 Jul 1998,48,
South Timbalier 22,"USA, Gulf of Mexico",USA,South Timbalier - 22,South Timbalier 22,"Chevron, J M Huber, Tenneco",Completed,Fixed,1 Jul 1984,14,
South Timbalier 22 Pipeline installation 2010,"USA, Gulf of Mexico",USA,South Timbalier - 22,South Timbalier 22 (+ South Timbalier 21),Chevron,Completed,Other,1 Jul 2012,14,
South Timbalier 220,"USA, Gulf of Mexico",USA,South Timbalier - 220,South Timbalier 220,"PRS Offshore (A), Walter Oil & Gas",Completed,Fixed,1 Jul 1998,48,
South Timbalier 220 relief,"USA, Gulf of Mexico",USA,South Timbalier - 220,South Timbalier 220,Walter Oil & Gas,Completed,Fixed,30 Apr 2014,48,replacement platform and modification of pipeline
South Timbalier 221,"USA, Gulf of Mexico",USA,South Timbalier - 221,South Timbalier 221,"Apache, Energy Partners",Completed,Fixed,1 Jul 1989,46,
South Timbalier 223,"USA, Gulf of Mexico",USA,South Timbalier - 223,South Timbalier 223,Walter Oil & Gas,Completed,Fixed,1 Jul 2007,48,
South Timbalier 223 - Removal,"USA, Gulf of Mexico",USA,South Timbalier - 223,South Timbalier 223,Walter Oil & Gas,Completed,Fixed,30 Sep 2011,48,
South Timbalier 224,"USA, Gulf of Mexico",USA,South Timbalier - 224,South Timbalier 224,Hess,Completed,Fixed,1 Jul 1991,51,
South Timbalier 225,"USA, Gulf of Mexico",USA,"South Timbalier - 225, South Timbalier - 226",South Timbalier 225,Hess,Completed,Fixed,1 Jul 1989,55,
South Timbalier 226,"USA, Gulf of Mexico",USA,South Timbalier - 226,South Timbalier 226,,Completed,Fixed,1 Jul 1990,55,
South Timbalier 229,"USA, Gulf of Mexico",USA,South Timbalier - 229,South Timbalier 229,W & T Offshore,Completed,Fixed,1 Jul 1996,74,
South Timbalier 229 2005,"USA, Gulf of Mexico",USA,South Timbalier - 229,South Timbalier 229,W & T Offshore,Completed,Fixed,1 Feb 2006,74,W&T to drill new well A006 from and produce from existing platform A
South Timbalier 231,"USA, Gulf of Mexico",USA,South Timbalier - 231,South Timbalier 231,Soco,Completed,Subsea,1 Jul 1998,73,
South Timbalier 232,"USA, Gulf of Mexico",USA,South Timbalier - 232,South Timbalier 232 (+ South Timbalier 265),LLOG,Construction,Fixed,4 Nov 2014,67,"9/14: Production moved to Nov 2014

7/14: Production moved to Q3 2014

projected June 2014 first production date"
South Timbalier 235,"USA, Gulf of Mexico",USA,South Timbalier - 235,South Timbalier 235,"ERT, Newfield Exploration",Completed,Fixed,1 Jul 1999,55,
South Timbalier 239,"USA, Gulf of Mexico",USA,South Timbalier - 239,South Timbalier 239,Walter Oil & Gas,Completed,Subsea,1 Jul 2003,49,
South Timbalier 241,"USA, Gulf of Mexico",USA,South Timbalier - 241,South Timbalier 241,ConocoPhillips,Completed,Fixed,1 Jul 1996,47,
