FieldsBase Fixed Platform Search - Data Download,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:02 for Dirk Rook,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Name,Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Function,Production type,Process module,Accommodation module,Drilling module,Utility module,Well head module,Water depth (m),Remark
Sinbad,Australia/New Zealand,Australia,,Sinbad,Sinbad,Hadson,Installed,Monopod,1992,Drilling,,N,N,Y,N,Y,40,Tower and deck set 4/92.
Skate,Australia/New Zealand,Australia,,Roller-Skate,Skate,WAPET,Installed,Monopod,1993,Production/Drilling,,Y,N,Y,N,Y,12,Tower and deck set 8/93.
Snapper,Australia/New Zealand,Australia,,Snapper,Snapper,ExxonMobil,Installed,Steel jacket,1979,Production/Drilling,,Y,N,Y,N,Y,55,Jacket and deck set 6/79.
Stag A,Australia/New Zealand,Australia,WA-209-P,Stag,Stag,Apache,Installed,Steel jacket,1997,Production,,Y,N,N,N,N,47,Est. field life = 13yrs. A $200 million dvlpmt. Install using float-over method w/o use of lift barge.
PC (Cancelled),Australia/New Zealand,Australia,NT/P12,Greater Sunrise,Sunrise LNG,Woodside,Cancelled,Steel jacket,2019,Production/Drilling/Accommodation,,N,N,,N,N,49,
Accomodation and Control Platform,Australia/New Zealand,Australia,NT/P48,,Tassie Shoal LNG (TSLNG),MEO Australia,Planned,Steel jacket,2018,Accommodation,,N,Y,,N,N,14,
LNG Plant,Australia/New Zealand,Australia,,,Tassie Shoal LNG (TSLNG),MEO Australia,Planned,Jackup,2018,Production,Gas,N,N,,N,N,15,"Two new concrete gravity structures to support the LNG process plant.
09/10 3.0million metric ton per year"
LNG Tank,Australia/New Zealand,Australia,,,Tassie Shoal LNG (TSLNG),MEO Australia,Planned,GBS,2018,Other,Gas,N,N,,N,N,14,Two new concrete gravity structures to support the LNG process plant.
Methanol Plant 1,Australia/New Zealand,Australia,NT/P48,,Tassie Shoal Methanol (TSMP),MEO Australia,Planned,GBS,2018,Production,,N,N,,N,N,14,"09/10 5,000tpd/1.75 mtpa stage 1 only"
Methanol Plant 2,Australia/New Zealand,Australia,NT/P48,,Tassie Shoal Methanol (TSMP),MEO Australia,Planned,GBS,2018,Production,Gas,N,N,,N,N,14,
GBS 1,Australia/New Zealand,Australia,VIC/L4,Tuna,Tuna,ExxonMobil,Installed,GBS,1996,Production/Drilling,,Y,N,Y,N,Y,60,
Tuna A,Australia/New Zealand,Australia,,Tuna,Tuna,ExxonMobil,Installed,Steel jacket,1976,Production/Drilling,,Y,N,Y,N,Y,59,Jacket and deck set 10/76.
Victor,Australia/New Zealand,Australia,TL/6,Victoria,Victoria,Apache,Installed,Steel jacket,2002,Production,,Y,N,N,N,Y,6,
CPP,Australia/New Zealand,Australia,,Wandoo,Wandoo,ExxonMobil,Installed,GBS,1997,Production,,Y,N,N,N,N,50,Previously listed as operated by Ampolex.
,Australia/New Zealand,Australia,WA-28-P,West Dixon,West Dixon,Woodside,Possible,Steel jacket,2018,Production/Drilling/Accommodation,,N,N,,N,N,27,
West Seahorse MOPU,Australia/New Zealand,Australia,VIC/P57,West Seahorse,West Seahorse,Hibiscus Petroleum,Tendering,Jackup,2015,Production,Oil,Y,,N,,Y,40,07/13: 3D Oil/Hibiscus purchase GSP Britannia for USD12M. To be sold and leased back.
,Australia/New Zealand,Australia,,West Tryal Rocks,West Tryal Rocks,Chevron,Possible,Steel jacket,2016,Production/Drilling/Accommodation,,N,N,,N,N,61,
CPP,Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,Wheatstone/Iago,Chevron,Construction,GBS,2014,Production,Condensate & Gas,,Y,,,,73,"11/13: Platform construction work is over 43% completed.

10/11:the topside of the platform is expected to be installed via float-over method with delivery set for 2014, which will consist of a gas-liquid separation plant and dehydrations as well as compression facilities"
WHP,Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,Wheatstone/Iago,Chevron,Cancelled,Steel jacket,2014,Wellhead,Condensate & Gas,,,,,,120,10/08: Will be installed by launch-barge.
Whiting A,Australia/New Zealand,Australia,,Whiting,Whiting,ExxonMobil,Installed,Steel jacket,1988,Wellhead,,,,,,Y,53,Jacket and deck set 12/88.
,Australia/New Zealand,Australia,,Wirrah,Wirrah,ExxonMobil,Possible,Steel jacket,2016,Production,,Y,N,N,N,Y,55,
Wonnich,Australia/New Zealand,Australia,TL/8,Wonnich,Wonnich,Apache,Installed,Steel jacket,1998,Production/Drilling,,Y,N,Y,N,Y,30,
Yolla-A,Australia/New Zealand,Australia,T/L-1,Yolla,"Yolla Mid-Life Enhancement (MLE) Phase 2, BassGas, Yolla Mid-Life Enhancement (MLE) Phase 1",Origin,Installed,Steel jacket,2004,Wellhead,Condensate & Gas,,,,,Y,80,"Part of the ""BassGas Project. Platform received first gas on January 29, 2005."
,Australia/New Zealand,New Zealand,PEP 38602,Karewa,Karewa,Todd,Possible,Steel jacket,2017,Production,,,,,,,89,
,Australia/New Zealand,New Zealand,PML 38146,Kupe,Kupe,Origin,Installed,Steel jacket,2008,Wellhead,,,,,,Y,35,"12/07: Installation will take place around mid to late Dec 07.

ENSCO 107 drilling rig to install WHP prior to its drilling of 3 prod wells. TBI Sept 2007."
Tiro Tiro Moana,Australia/New Zealand,New Zealand,PMP 38160,Maari/Manaia growth projects,Maari,OMV,Installed,Steel jacket,2008,Wellhead,Oil,,,,,Y,91,"10/10: 7 oil wells, 3 water injectors, Drilled by Ensco 107"
Maui A,Australia/New Zealand,New Zealand,PMP 381012,Maui,Maui,Shell,Installed,Steel jacket,1976,Production/Drilling,Gas,Y,N,Y,N,Y,108,Jacket and deck set 1/76. (Normal manning of 8-9 during production phase)
Maui B,Australia/New Zealand,New Zealand,PMP 381012,Maui,Maui,Shell,Installed,Steel jacket,1992,Drilling,Oil,N,N,Y,N,Y,109,Jacket set 1/92. Deck set 2/92. (Quarters for emergency use only)
,Australia/New Zealand,New Zealand,PMP 38154,Pohokura,Pohokura,Shell,Installed,Steel jacket,2006,Wellhead,Condensate & Gas,,,,,Y,50,First gas expected mid-2006.
Roedsand Wind Farm Transformer Platform,Baltic,Denmark,,,Roedsand 2 Wind Farm,,Installed,Unknown Fixed,2009,Other,,N,N,,Y,N,12,"03/08: Platform pre-qual being re-run. Likely April 2008 re-start for tender process.

12/07: Single platform to be installed as part of offshore wind farm. Pre-qual docs due in Nov 15, work expected to start March 2008, installation October 2009."
,Baltic,Poland,,B-16,B-16,Petrobaltic,Possible,Steel jacket,2017,Production/Drilling/Accommodation,,N,N,,N,N,24,
B-23,Baltic,Poland,,B-23,B-23,Petrobaltic,Possible,Steel jacket,2017,,,,,,,,120,
,Baltic,Poland,,B-3,B-3,Petrobaltic,Installed,Steel jacket,1999,Drilling,,N,N,Y,N,Y,80,
Baltic Beta,Baltic,Poland,,B-3,B-3,Petrobaltic,Installed,Jackup,1995,Production,,Y,N,N,N,N,90,Petrobaltic completed purchase of Smedvig jackup for use as a production unit. Formerly WEST BETA; DYVI BETA.
,Baltic,Poland,,B4,B4,Baltic Gas Sp,Planned,Steel jacket,2017,Wellhead,,,,,,N,24,
,Baltic,Poland,,B6,B6,Baltic Gas Sp,Possible,Unknown Fixed,2017,,Gas,,,,,,80,
Petrobaltic,Baltic,Poland,,B8,B8,Petrobaltic,Construction,Jackup,2015,Production/Accommodation,Oil,,,,,,85,
,Baltic,Russia,,,Baltic Sea Area 1982,RUSSIAN GOVERNMENT,Installed,Steel jacket,1982,Drilling,,N,N,Y,N,Y,,Jacket and deck set 10/82.
,Baltic,Russia,,,Baltic Sea Area 1982,RUSSIAN GOVERNMENT,Installed,Steel jacket,1982,Drilling,,N,N,Y,N,Y,,Jacket and deck set 10/82.
,Baltic,Russia,,,Baltic Sea Area 1986,RUSSIAN GOVERNMENT,Installed,Steel jacket,1986,Production/Drilling,,Y,N,Y,N,Y,,Jacket and deck set 6/86.
D-3,Baltic,Russia,,Kravtsovskoye (D-6),Kravtsovskoye (D-6),Lukoil,Installed,Steel jacket,2003,Accommodation,,N,Y,N,N,N,30,
D-6,Baltic,Russia,,Kravtsovskoye (D-6),Kravtsovskoye (D-6),Lukoil,Installed,Steel jacket,2003,Production/Drilling,,Y,N,Y,N,Y,30,Oil is exported by tanker to Western Europe. Company plans to drill 27 wells from platform. Fab work at local yard.
Nord Stream service platform,Baltic,Russia,,,Nord Stream Line 1,Gazprom,Cancelled,Steel jacket,2011,General Service,Gas,N,N,,N,N,,"04/08: Service platform no longer required. Pipeline maintenance to be undertaken by pigging.

01/08: Service platform for twin Nord Stream gas export lines"
Gorilla III,"Canada, East",Canada,,Cohasset - Panuke,Cohasset - Panuke,Agip,Removed,Jackup,1991,Production,,Y,N,N,N,N,40,"Jackup in place 11/91. (Converted jackup ""Rowan Gorilla 3""). (Rig will move later to the Panuke Field)"
Panuke,"Canada, East",Canada,,Cohasset - Panuke,Cohasset - Panuke,Agip,Removed,Steel jacket,1991,Production/Drilling,,Y,N,Y,N,Y,46,"ceased production 12/99
Jacket set 8/91. Deck set 9/91."
Wellhead,"Canada, East",Canada,,Cohasset - Panuke,Cohasset - Panuke,Agip,Removed,Steel jacket,1991,Production/Drilling,,Y,N,Y,N,Y,40,Jacket set 8/91. Deck set 9/91.
PFC,"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Installed,Jackup,2011,Production/Accommodation,Gas,Y,Y,N,N,Y,45,"06/11 PFC has sailed out to Nova Scotia. Expected arrival in end of June.
04/10 PFC sail out pushed back so production now expected second half of 2011
SBM has received LOA for operation and leasing of production facility."
,"Canada, East",Canada,,Sable Island,Glenelg,Shell,Cancelled,Steel jacket,2004,Drilling,,N,N,Y,N,Y,50,"09/10 Will not develop as part of Sable Phase II
Concept evaluation studies ongoing. Standalone facility found not viable in 2003."
