FieldsBase Fixed Platform Search - Data Download,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:02 for Dirk Rook,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Name,Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Function,Production type,Process module,Accommodation module,Drilling module,Utility module,Well head module,Water depth (m),Remark
B,"USA, Gulf of Mexico",USA,Viosca Knoll - 24,Viosca Knoll 24,Viosca Knoll 24,Vastar (A),Installed,Steel jacket,1988,Production,,Y,N,N,N,N,20,
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 252,Viosca Knoll 252,Viosca Knoll 252,Chevron,Removed,Steel jacket,2000,Production,Gas,Y,N,N,N,N,37,Plans to use explosives for removal.
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 27,Viosca Knoll 27,Viosca Knoll 27,Chevron,Removed,Steel jacket,1991,Production,Gas,,,,,,31,Removed with explosives.
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 294,Viosca Knoll 294,Viosca Knoll 294,Vastar (A),Removed,Steel jacket,1988,Production,Gas,Y,N,N,N,N,36,Jacket and deck set 8/88. (Formerly operated by ARCO) PLATFORM DESTROYED BY HURRICANE IVAN.PROPOSED EXPLOSIVE REMOVAL.
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 31,Viosca Knoll 31,Viosca Knoll 31,EOG,Removed,Steel jacket,1994,Production/Drilling,Gas,Y,N,Y,N,Y,31,
3,"USA, Gulf of Mexico",USA,Viosca Knoll - 32,Viosca Knoll 32,Viosca Knoll 32,EOG,Removed,Steel jacket,1988,Production,Gas,,,,,,29,Proposed explosive removal
No 1,"USA, Gulf of Mexico",USA,Viosca Knoll - 32,Viosca Knoll 32,Viosca Knoll 32,Devon Energy,Installed,Steel jacket,1988,Production,,Y,N,N,N,N,32,Jacket and deck set 4/88.
No 3,"USA, Gulf of Mexico",USA,Viosca Knoll - 32,Viosca Knoll 32,Viosca Knoll 32,Devon Energy,Installed,Steel jacket,1988,Production,,Y,N,N,N,N,29,Jacket and deck set 3/88.
S,"USA, Gulf of Mexico",USA,Viosca Knoll - 32,Viosca Knoll 32,Viosca Knoll 32,EOG,Removed,Steel jacket,1988,Production,Gas,,,,,,32,Proposed explosive removal.
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 340,Viosca Knoll 340,Viosca Knoll 340,Chevron,Installed,Steel jacket,2001,Production/Drilling,Gas,Y,N,Y,N,Y,39,
1,"USA, Gulf of Mexico",USA,Viosca Knoll - 35,Viosca Knoll 35,Viosca Knoll 35,El Paso,Removed,Unknown Fixed,1997,,,,,,,,35,No explosives used.
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 384,Viosca Knoll 384,Viosca Knoll 384,Chevron,Installed,Steel jacket,2002,Production/Drilling,Gas,Y,N,Y,N,Y,40,
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 385,Viosca Knoll 385,Viosca Knoll 385,El Paso,Scheduled for removal,Steel jacket,2000,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,42,
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 432,Viosca Knoll 432,"Viosca Knoll 432-A/77-A Removals, Viosca Knoll 432",Knight Resources,Removed,Tripod,2006,Production,,Y,N,,N,N,38,
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 77,Viosca Knoll 77,"Viosca Knoll 432-A/77-A Removals, Viosca Knoll 77",Knight Resources,Removed,Steel jacket,2006,Production,,Y,N,,N,N,32,
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 68,Viosca Knoll 68,Viosca Knoll 68,Chevron,Installed,Steel jacket,1997,Production,Gas,Y,N,,N,N,30,Structure was in storage.
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 69,Viosca Knoll 69,Viosca Knoll 69,Chevron,Installed,Steel jacket,1991,Production,Gas,,,,,,31,
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 69,Viosca Knoll 69,Viosca Knoll 69,Energy Partners,Installed,Steel jacket,1991,Production,,Y,N,N,N,N,31,Jacket and deck set 5/91.
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 734,Viosca Knoll 734,Viosca Knoll 734,ExxonMobil,Installed,Tripod,1999,Drilling,,N,N,Y,N,Y,98,
2,"USA, Gulf of Mexico",USA,Viosca Knoll - 74,Viosca Knoll 74,Viosca Knoll 74,EOG,Removed,Caisson,1988,Wellhead,Gas,,,,,,33,ID#23445.1
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 76,Viosca Knoll 76,Viosca Knoll 76,Pisces Energy,Removed,Steel jacket,1994,Production,Gas,Y,N,,N,N,34,
B,"USA, Gulf of Mexico",USA,Viosca Knoll - 899,Viosca Knoll 899,Viosca Knoll 899,Chevron,Removed,Steel jacket,1977,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,120,
A,"USA, Gulf of Mexico",USA,Viosca Knoll - 900,Viosca Knoll 900,Viosca Knoll 900,Chevron,Installed,Steel jacket,1975,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,104,
A (Virgo),"USA, Gulf of Mexico",USA,Viosca Knoll - 823,Virgo,Virgo,W & T Offshore,Installed,Steel jacket,1999,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,345,
A,"USA, Gulf of Mexico",USA,West Cameron - 407,Volga,Volga,Nippon Oil,Removed,Steel jacket,1999,Production,Gas,,,,,,27,Explosives will be used.
B,"USA, Gulf of Mexico",USA,Vermilion - 187,Vermilion 187,VR 187,ConocoPhillips,Installed,Caisson,2008,Wellhead,Oil & Gas,,,,,,32,
D (No.8),"USA, Gulf of Mexico",USA,West Cameron - 225,West Cameron 225,WC 225,Breton Energy,Installed,Caisson,2008,Wellhead,Gas,,,,,,19,
No.7,"USA, Gulf of Mexico",USA,West Cameron - 225,West Cameron 225,WC 225,Breton Energy,Installed,Caisson,2008,,Gas,,,,,,19,
A,"USA, Gulf of Mexico",USA,West Cameron - 100,West Cameron 100,West Cameron 100,Eni,Installed,Steel jacket,2002,Production/Accommodation,Gas,Y,Y,,N,N,13,
A,"USA, Gulf of Mexico",USA,West Cameron - 100,West Cameron 100,West Cameron 100,Anadarko,Installed,Steel jacket,1989,Production/Drilling,,Y,N,Y,N,Y,11,Jacket and deck set 12/89.
A,"USA, Gulf of Mexico",USA,West Cameron - 100,West Cameron 100,West Cameron 100,Anadarko,Removed,Steel jacket,1990,Drilling,Gas,N,N,Y,N,Y,13,
A,"USA, Gulf of Mexico",USA,West Cameron - 101,West Cameron 101,West Cameron 101,Hess,Removed,Caisson,2001,Production,Gas,Y,N,,N,N,13,"Renamed to Platform A, formerly Caisson No. 1. PROPOSED EXLPOSIVE REMOVAL9/25/06 OPERATOR HAS NOT CHOSEN CONTRATOR FOR REMOVAL YET, WILL TENDER."
A,"USA, Gulf of Mexico",USA,West Cameron - 101,West Cameron 101,West Cameron 101,ExxonMobil,Installed,Steel jacket,1983,Production/Drilling,Gas,Y,N,Y,N,Y,18,
B,"USA, Gulf of Mexico",USA,West Cameron - 101,West Cameron 101,West Cameron 101,"ATP Oil & Gas, Century Offshore Management",Installed,Steel jacket,2001,Production,,Y,N,,N,N,13,5/09: Century Exploration has acquired lease. Cancelled plans to remove platform B - willl reenter and sidetrack ATP's existing B1 wellbore form the B platform. No new infrastructure needed.
C,"USA, Gulf of Mexico",USA,West Cameron - 101,West Cameron 101,West Cameron 101,ExxonMobil,Removed,Steel jacket,1956,Production/Drilling,Oil & Gas,,,,,,9,
C-AUX,"USA, Gulf of Mexico",USA,West Cameron - 101,West Cameron 101,West Cameron 101,ExxonMobil,Removed,Steel jacket,1956,Production,Oil & Gas,,,,,,9,
JP,"USA, Gulf of Mexico",USA,West Cameron - 101,West Cameron 101,West Cameron 101,ExxonMobil,Removed,Steel jacket,1971,Production/Drilling,,,,,,,13,Sever with explosives.
L,"USA, Gulf of Mexico",USA,West Cameron - 101,West Cameron 101,West Cameron 101,ExxonMobil,Removed,Steel jacket,1982,Production/Drilling,Gas,,,,,,13,Sever with explosives.
L-1,"USA, Gulf of Mexico",USA,West Cameron - 101,West Cameron 101,West Cameron 101,ExxonMobil,Installed,Steel jacket,1982,Production/Drilling,,Y,N,Y,N,Y,13,Jacket and deck set 1982. (Formerly operated by Superior)
#22,"USA, Gulf of Mexico",USA,West Cameron - 102,West Cameron 102,West Cameron 102,,Removed,Steel jacket,1984,Production,Gas,Y,N,N,N,N,12,
10,"USA, Gulf of Mexico",USA,West Cameron - 102,West Cameron 102,West Cameron 102,,Installed,Steel jacket,1979,Production,Gas,Y,N,N,N,N,13,
11,"USA, Gulf of Mexico",USA,West Cameron - 102,West Cameron 102,West Cameron 102,,Removed,Steel jacket,1982,Production/Drilling,,Y,N,Y,N,Y,12,
12,"USA, Gulf of Mexico",USA,West Cameron - 102,West Cameron 102,West Cameron 102,,Removed,Steel jacket,1982,Production/Drilling,Gas,Y,N,Y,N,Y,12,
14,"USA, Gulf of Mexico",USA,West Cameron - 102,West Cameron 102,West Cameron 102,,Removed,Steel jacket,1982,Production/Drilling,Gas,Y,N,Y,N,Y,13,
15,"USA, Gulf of Mexico",USA,West Cameron - 102,West Cameron 102,West Cameron 102,,Installed,Steel jacket,1982,Production/Drilling,Gas,Y,N,Y,N,Y,13,Jacket and deck set 1982. (Formerly operated by Superior) MAY NOT BE REMOVED
16,"USA, Gulf of Mexico",USA,West Cameron - 102,West Cameron 102,West Cameron 102,,Installed,Steel jacket,1982,Production/Drilling,,Y,N,Y,N,Y,13,Jacket and deck set 7/82. (Formerly operated by Superior)
A,"USA, Gulf of Mexico",USA,West Cameron - 102,West Cameron 102,West Cameron 102,,Installed,Steel jacket,1982,Production/Drilling,Gas,Y,N,Y,N,Y,12,
Aux,"USA, Gulf of Mexico",USA,West Cameron - 102,West Cameron 102,West Cameron 102,,Installed,Steel jacket,1990,Production,,Y,N,N,N,N,12,Jacket and deck set 11/90.
G-AUX,"USA, Gulf of Mexico",USA,West Cameron - 102,West Cameron 102,West Cameron 102,,Installed,Steel jacket,1990,Compression,,,N,,N,,13,Jacket and deck set 9/90.
A,"USA, Gulf of Mexico",USA,West Cameron - 107,West Cameron 107,West Cameron 107,ExxonMobil,Removed,Steel jacket,1983,Production,Gas,Y,N,N,N,N,12,
A,"USA, Gulf of Mexico",USA,West Cameron - 109,West Cameron 109,West Cameron 109,Newfield Exploration,Removed,Steel jacket,1988,Production/Drilling,Gas,,,,,,13,Global industries' db hercules removed  deck.
A,"USA, Gulf of Mexico",USA,West Cameron - 109,West Cameron 109,West Cameron 109,Newfield Exploration,Removed,Steel jacket,1992,Production/Drilling,,Y,N,Y,N,Y,13,Jacket and deck set 1/92.
1,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,BP,Removed,Steel jacket,1964,Production,Gas,,,,,,12,Platform destroyed by hurricane rita.
10,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,BP,Installed,Caisson,1980,Production,Gas,,,,,,13,"10/08 Was told platform was repaired
Platform destroyed by hurricane rita."
12,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,Mariner Energy,Installed,Caisson,1993,Production,Gas,,,,,,12,
15,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,Mariner Energy,Installed,Caisson,2000,Production,Gas,,,,,,13,
18,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,Mariner Energy,Installed,Unknown Fixed,2007,Production,Gas,N,N,,N,N,13,
19,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,Mariner Energy,Installed,Caisson,2008,Production,Gas,,,,,,13,
2,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,BP,Removed,Steel jacket,1966,Production,Gas,,,,,,12,
3,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,BP,Removed,Steel jacket,1968,Production,Gas,,,,,,12,Plans for removal submitted july 2007.
9,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,Mariner Energy,Scheduled for removal,Caisson,1977,Production,Gas,,,,,,13,Platform destroyed by hurricane rita.
A,"USA, Gulf of Mexico",USA,West Cameron - 135,West Cameron 110,West Cameron 110,ConocoPhillips,Removed,Steel jacket,1970,Production/Drilling,Gas,,,,,,13,
A,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,BP,Installed,Steel jacket,1955,Production/Drilling,Gas,,,,,,12,
A-AUX1,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,BP,Installed,Steel jacket,1958,Production,Gas,,,,,,12,
A-AUX2,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,BP,Installed,Unknown Fixed,1958,,Gas,,,,,,12,
D,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,BP,Removed,Steel jacket,1959,Production/Drilling,Gas,,,,,,13,
E,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,Mariner Energy,Installed,Steel jacket,1969,Production/Drilling,Gas,,,,,,12,
H,"USA, Gulf of Mexico",USA,West Cameron - 110,West Cameron 110,West Cameron 110,Mariner Energy,Installed,Caisson,2006,Production,Gas,,,,,,12,
#5,"USA, Gulf of Mexico",USA,West Cameron - 111,West Cameron 110,West Cameron 111,Mariner Energy,Removed,Caisson,2005,Wellhead,Gas,,,,,,12,"1,735"
B,"USA, Gulf of Mexico",USA,West Cameron - 111,West Cameron 111,West Cameron 111,BP,Removed,Steel jacket,1956,Production/Drilling,Gas,,,,,,12,
B-AUX1,"USA, Gulf of Mexico",USA,West Cameron - 111,West Cameron 111,West Cameron 111,BP,Removed,Steel jacket,1970,Production,Gas,,,,,,12,
C,"USA, Gulf of Mexico",USA,West Cameron - 111,West Cameron 111,West Cameron 111,Mariner Energy,Installed,Caisson,2002,Production,Gas,,,,,,13,
F,"USA, Gulf of Mexico",USA,West Cameron - 111,West Cameron 111,West Cameron 111,Mariner Energy,Installed,Caisson,2002,Production,Gas,,,,,,13,
A,"USA, Gulf of Mexico",USA,West Cameron - 116,West Cameron 116,West Cameron 116,Murphy,Removed,Steel jacket,1981,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,11,Jacket set 4/81. Deck set 10/81. (Formerly operated by ODECO O&G) SEVER PILES WITH EXPLOSIVES.
A-Aux,"USA, Gulf of Mexico",USA,West Cameron - 116,West Cameron 116,West Cameron 116,Murphy,Removed,Steel jacket,1981,Production,Oil & Gas,Y,N,,N,N,11,Jacket and deck set 1981. (Formerly operated by ODECO O&G) EXPLOSIVE REOMOVAL
B,"USA, Gulf of Mexico",USA,West Cameron - 116,West Cameron 116,West Cameron 116,Tana Oil & Gas,Installed,Caisson,2002,Wellhead,Gas,,,,,,11,
No.3,"USA, Gulf of Mexico",USA,West Cameron - 116,West Cameron 116,West Cameron 116,Tana Oil & Gas,Removed,Caisson,2007,Wellhead,Gas,,,,,N,11,Proposed hook-up and commencement date 3/20/07.3/29 running lines today.set to come online in next couple of weeks.
4,"USA, Gulf of Mexico",USA,West Cameron - 116,West Cameron 116,West Cameron 116 - 2009,Tana Oil & Gas,Installed,Caisson,2009,Wellhead,Gas,,,,,,11,
2,"USA, Gulf of Mexico",USA,West Cameron - 118,West Cameron 118,West Cameron 118,ConocoPhillips,Removed,Steel jacket,1967,Production/Drilling,Gas,,,,,,10,
3,"USA, Gulf of Mexico",USA,West Cameron - 118,West Cameron 118,West Cameron 118,ConocoPhillips,Removed,Steel jacket,1961,Production/Drilling,Gas,,,,,,10,
B (cais.#17),"USA, Gulf of Mexico",USA,West Cameron - 118,West Cameron 118,West Cameron 118,Newfield Exploration,Removed,Steel jacket,1997,Production,,,,,,,11,
#11,"USA, Gulf of Mexico",USA,West Cameron - 118,West Cameron 118,"West Cameron 118 Decommissioning 2010, West Cameron 118",McMoRan,Removed,Steel jacket,1985,Production,Oil & Gas,Y,N,,N,N,9,Jacket and deck set 4Q/85.
16,"USA, Gulf of Mexico",USA,West Cameron - 118,West Cameron 118,"West Cameron 118 Decommissioning 2010, West Cameron 118",McMoRan,Removed,Caisson,2000,Wellhead,Gas,,,,,,9,
6,"USA, Gulf of Mexico",USA,West Cameron - 118,West Cameron 118,"West Cameron 118 Decommissioning 2010, West Cameron 118",McMoRan,Removed,Caisson,1967,Wellhead,,,,,,,10,
1,"USA, Gulf of Mexico",USA,West Cameron - 118,West Cameron 118,"West Cameron 118, West Cameron 118 Decommissioning 2010",McMoRan,Removed,Steel jacket,1967,Production,Oil & Gas,,,,,,10,
10,"USA, Gulf of Mexico",USA,West Cameron - 118,West Cameron 118,"West Cameron 118, West Cameron 118 Decommissioning 2010",Newfield Exploration,Removed,Steel jacket,1984,Production,Gas,,,,,,10,
15,"USA, Gulf of Mexico",USA,West Cameron - 118,West Cameron 118,"West Cameron 118, West Cameron 118 Decommissioning 2010",McMoRan,Removed,Caisson,2000,Wellhead,Gas,,,,,,9,
#2,"USA, Gulf of Mexico",USA,West Cameron - 130,West Cameron 130,West Cameron 130,Eni,Installed,Caisson,2003,Wellhead,Gas,,,,,,12,
#3,"USA, Gulf of Mexico",USA,West Cameron - 130,West Cameron 130,West Cameron 130,Eni,Installed,Caisson,2005,Wellhead,,,,,,N,11,Caisson will be bridge connected to existing platform B.
#4,"USA, Gulf of Mexico",USA,West Cameron - 130,West Cameron 130,West Cameron 130,Eni,Installed,Caisson,2006,Wellhead,Gas,,,,,,11,
A,"USA, Gulf of Mexico",USA,West Cameron - 130,West Cameron 130,West Cameron 130,Eni,Installed,Steel jacket,1997,Production,Gas,Y,?,,N,N,11,
B,"USA, Gulf of Mexico",USA,West Cameron - 130,West Cameron 130,West Cameron 130,Eni,Installed,Steel jacket,2004,Production/Accommodation,Gas,Y,Y,,N,N,11,
A,"USA, Gulf of Mexico",USA,West Cameron - 132,West Cameron 132,West Cameron 132,Anadarko,Removed,Steel jacket,1985,Production,Gas,Y,N,N,N,N,11,Jacket set 11/84. Deck set 2/85. SEVER WITH EXPLOSIVES & REMOVE TO SHORE FOR SCRAP OR REFURB.
B,"USA, Gulf of Mexico",USA,West Cameron - 132,West Cameron 132,West Cameron 132,Anadarko,Installed,Steel jacket,1985,Accommodation,,N,Y,N,N,N,11,
D,"USA, Gulf of Mexico",USA,West Cameron - 132,West Cameron 132,West Cameron 132,Anadarko,Installed,Steel jacket,1986,Production,,Y,N,N,N,N,14,
2,"USA, Gulf of Mexico",USA,West Cameron - 132,West Cameron 132,West Cameron 132 Phase II,Anadarko,Removed,Caisson,2007,,Condensate & Gas,,,,,,11,
B,"USA, Gulf of Mexico",USA,West Cameron - 132,West Cameron 132,West Cameron 132 Phase II,Energy XXI,Scheduled for removal,Steel jacket,2006,Production,Gas,?,,,?,?,11,"1,843"
2,"USA, Gulf of Mexico",USA,West Cameron - 132,West Cameron 132,West Cameron 132 Phase III,Marlin Coastal,Installed,Caisson,2010,Wellhead,Gas,,,,,,12,
A,"USA, Gulf of Mexico",USA,West Cameron - 141,West Cameron 141,West Cameron 141 - 2,Energy Partners,Cancelled,Unknown Fixed,2008,Production,Gas,,,,,,14,
A,"USA, Gulf of Mexico",USA,West Cameron - 142,West Cameron 142,West Cameron 142,ConocoPhillips,Installed,Steel jacket,1993,Production,Gas,Y,N,N,N,N,14,
#2,"USA, Gulf of Mexico",USA,West Cameron - 143,West Cameron 143,West Cameron 143,ATP Oil & Gas,Removed,Steel jacket,1986,Production,Gas,Y,N,,N,N,13,Jacket and deck set 8/86. (BP Expl formerly Standard Oil)
,"USA, Gulf of Mexico",USA,West Cameron - 144,West Cameron 144,West Cameron 144,Chevron,Installed,Steel jacket,1989,Production,,Y,N,N,N,N,17,Jacket and deck set 10/89.
C,"USA, Gulf of Mexico",USA,West Cameron - 144,West Cameron 144,West Cameron 144,Chevron,Installed,Steel jacket,1985,Compression,Oil & Gas,N,N,N,N,N,14,
1(B),"USA, Gulf of Mexico",USA,West Cameron - 146,West Cameron 146,West Cameron 146,Newfield Exploration,Removed,Steel jacket,1972,Production,Gas,,,,,,14,Explosive removal planned.
7,"USA, Gulf of Mexico",USA,West Cameron - 170,West Cameron 146,West Cameron 146,Nexen,Installed,Caisson,2002,Wellhead,Gas,,,,,,14,
8,"USA, Gulf of Mexico",USA,West Cameron - 146,West Cameron 146,West Cameron 146,ConocoPhillips,Removed,Steel jacket,1986,Production/Drilling,Gas,Y,N,Y,N,Y,10,Jacket and deck set 2/86. PROPOSED NON-EXPLOSIVE REMOVAL. eXPLOSIVES AS BACKUP
9,"USA, Gulf of Mexico",USA,West Cameron - 146,West Cameron 146,West Cameron 146,Newfield Exploration,Removed,Unknown Fixed,1988,,,,,,,,12,"Proposed non-explosive removal, explosives as back up"
A,"USA, Gulf of Mexico",USA,West Cameron - 171,West Cameron 146,West Cameron 146,Conn Energy,Scheduled for removal,Steel jacket,1972,Production/Drilling,Oil & Gas,,,,,,13,Winmar = proj mgr
A,"USA, Gulf of Mexico",USA,West Cameron - 146,West Cameron 146,West Cameron 146,Newfield Exploration,Removed,Steel jacket,1972,Production,Gas,,,,,,14,Proposed explosive removal or alternatively mechanical cutters
A-AUX1,"USA, Gulf of Mexico",USA,West Cameron - 171,West Cameron 146,West Cameron 146,Conn Energy,Installed,Steel jacket,1972,Production,Oil & Gas,,,,,,13,
A-AUX2,"USA, Gulf of Mexico",USA,West Cameron - 171,West Cameron 146,West Cameron 146,Conn Energy,Installed,Steel jacket,1977,Compression,Oil & Gas,,,,,,13,
B,"USA, Gulf of Mexico",USA,West Cameron - 171,West Cameron 146,West Cameron 146,Conn Energy,Removed,Steel jacket,1973,Production/Drilling,Gas,,,,,,12,
B-AUX1,"USA, Gulf of Mexico",USA,West Cameron - 171,West Cameron 146,West Cameron 146,Conn Energy,Removed,Steel jacket,1973,Production,Gas,,,,,,12,
B-AUX2,"USA, Gulf of Mexico",USA,West Cameron - 171,West Cameron 146,West Cameron 146,Conn Energy,Removed,Steel jacket,1974,Accommodation,,,,,,,12,
C-AUX1,"USA, Gulf of Mexico",USA,West Cameron - 171,West Cameron 146,West Cameron 146,ExxonMobil,Removed,Steel jacket,1972,Drilling,Gas,,,,,,14,
CB,"USA, Gulf of Mexico",USA,West Cameron - 172,West Cameron 146,West Cameron 146,Chevron,Removed,Steel jacket,1972,Production/Drilling,Gas,,,,,,14,
CC,"USA, Gulf of Mexico",USA,West Cameron - 172,West Cameron 146,West Cameron 146,W & T Offshore,Scheduled for removal,Steel jacket,1972,Production/Drilling,Gas,,,,,,15,
CD,"USA, Gulf of Mexico",USA,West Cameron - 172,West Cameron 146,West Cameron 146,Chevron,Removed,Steel jacket,1974,Production/Drilling,Gas,,,,,,12,
E,"USA, Gulf of Mexico",USA,West Cameron - 172,West Cameron 146,West Cameron 146,Forest Oil,Installed,Steel jacket,1999,Production,,,,,,,14,Platform destroyed by hurricane rita.
#4,"USA, Gulf of Mexico",USA,West Cameron - 149,West Cameron 149,West Cameron 149,El Paso,Installed,Caisson,1995,Wellhead,Gas,,,,,,12,
1,"USA, Gulf of Mexico",USA,West Cameron - 132,West Cameron 149,West Cameron 149,ExxonMobil,Removed,Steel jacket,1969,Production/Drilling,Gas,,,,,,10,
6(C),"USA, Gulf of Mexico",USA,West Cameron - 168,West Cameron 149,West Cameron 149,Anadarko,Removed,Steel jacket,1959,Production/Drilling,Gas,,,,,,12,
A,"USA, Gulf of Mexico",USA,West Cameron - 132,West Cameron 149,West Cameron 149,Anadarko,Removed,Steel jacket,1968,Production/Drilling,Gas,,,,,,12,
A(2),"USA, Gulf of Mexico",USA,West Cameron - 149,West Cameron 149,West Cameron 149,"El Paso, Anadarko",Installed,Steel jacket,1962,Production/Drilling,Gas,,,,,,12,
D(9),"USA, Gulf of Mexico",USA,West Cameron - 149,West Cameron 149,West Cameron 149,Anadarko,Removed,Steel jacket,1960,Drilling,Gas,,,,,,12,
E,"USA, Gulf of Mexico",USA,West Cameron - 149,West Cameron 149,West Cameron 149,ExxonMobil,Removed,Steel jacket,1982,Production/Drilling,Gas,Y,N,Y,N,Y,13,
G,"USA, Gulf of Mexico",USA,West Cameron - 149,West Cameron 149,West Cameron 149,Anadarko,Removed,Steel jacket,1985,Production/Drilling,Gas,Y,N,Y,N,Y,12,
H,"USA, Gulf of Mexico",USA,West Cameron - 149,West Cameron 149,West Cameron 149,El Paso,Installed,Unknown Fixed,2002,,,,N,,,,12,
8,"USA, Gulf of Mexico",USA,West Cameron - 149,West Cameron 149,West Cameron 149 Phase II,Anadarko,Installed,Caisson,2008,Wellhead,Gas,,,,,,11,
F,"USA, Gulf of Mexico",USA,West Cameron - 150,West Cameron 150,West Cameron 150,,Removed,Steel jacket,1983,Production/Drilling,Gas,Y,N,Y,N,Y,13,
A,"USA, Gulf of Mexico",USA,West Cameron - 151,West Cameron 151,West Cameron 151,Virgin Offshore,Installed,Steel jacket,2004,General Service,,N,N,N,N,N,12,
2,"USA, Gulf of Mexico",USA,West Cameron - 153,West Cameron 153,West Cameron 153,Dominion E&P,Removed,Caisson,2004,Wellhead,Gas,,,,,,14,
A,"USA, Gulf of Mexico",USA,West Cameron - 153,West Cameron 153,West Cameron 153,TDC Energy,Removed,Steel jacket,1994,Production,Oil & Gas,Y,N,,N,N,15,
#1,"USA, Gulf of Mexico",USA,West Cameron - 157,West Cameron 157,West Cameron 157,Tana Oil & Gas,Removed,Caisson,2008,Wellhead,Gas,,,,,,9,"2,165"
2,"USA, Gulf of Mexico",USA,West Cameron - 163,West Cameron 163,West Cameron 163,Forest Oil,Installed,Steel jacket,1987,Production/Drilling,Gas,,,,,,13,
A,"USA, Gulf of Mexico",USA,West Cameron - 163,West Cameron 163,West Cameron 163,Enserch,Installed,Steel jacket,1985,Production/Drilling,Gas,Y,N,Y,N,Y,13,
1,"USA, Gulf of Mexico",USA,West Cameron - 165,West Cameron 165,West Cameron 165,Devon Energy,Removed,Steel jacket,1960,Production,Gas,,,,,,15,
10,"USA, Gulf of Mexico",USA,West Cameron - 165,West Cameron 165,West Cameron 165,Tenneco,Removed,Steel jacket,1972,Production/Drilling,Gas,,,,,,15,
12,"USA, Gulf of Mexico",USA,West Cameron - 165,West Cameron 165,West Cameron 165,Devon Energy,Installed,Steel jacket,1976,Production,Gas,Y,N,N,N,N,15,
2,"USA, Gulf of Mexico",USA,West Cameron - 165,West Cameron 165,West Cameron 165,Apache,Installed,Steel jacket,1960,Production,Gas,,,,,,15,
3,"USA, Gulf of Mexico",USA,West Cameron - 165,West Cameron 165,West Cameron 165,Tenneco,Removed,Steel jacket,1970,Production,Gas,,,,,,15,
4,"USA, Gulf of Mexico",USA,West Cameron - 165,West Cameron 165,West Cameron 165,Tenneco,Removed,Steel jacket,1970,Production,Gas,,,,,,15,
5(6),"USA, Gulf of Mexico",USA,West Cameron - 165,West Cameron 165,West Cameron 165,Tenneco,Removed,Steel jacket,1970,Production,Gas,,,,,,15,
A,"USA, Gulf of Mexico",USA,West Cameron - 165,West Cameron 165,West Cameron 165,Walter Oil & Gas,Installed,Steel jacket,1985,Production,,Y,N,N,N,N,24,Jacket and deck set 1985.
A,"USA, Gulf of Mexico",USA,West Cameron - 165,West Cameron 165,West Cameron 165,Apache,Installed,Steel jacket,1976,Drilling,Gas,N,N,Y,N,Y,15,
#2,"USA, Gulf of Mexico",USA,West Cameron - 167,West Cameron 167,West Cameron 167,Total,Removed,Steel jacket,1990,Production,Gas,Y,N,,N,N,15,Jacket and deck set 9/90.
