FieldsBase Awarded Contract Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:52 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract type,Work scope,Value (mil usd),Contractor,Contractor bids,Award date,Start date,End date,Duration (month),Remark
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Jack/St. Malo,Jack/St. Malo Phase I,Chevron,EPC,Topsides fabrication,,Kiewit Offshore Services,"Hyundai Heavy Industries, J. Ray McDermott, Kiewit Offshore Services, Kiewit Offshore Services",1 Oct 2010,18 Jan 2011,,,
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Jack/St. Malo,Jack/St. Malo Phase I,Chevron,Construction/Fabrication,Control umbilical supply,,Aker Solutions,,31 May 2011,31 May 2011,,,"The work scope includes three electro-hydraulic steel tube production umbilicals totalling 65 kilometres. Engineering, project management, and manufacturing will be headed up at Aker Solutions' umbilical facility in Mobile, Alabama."
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Jack/St. Malo,Jack/St. Malo Phase I,Chevron,EPC,umbilicals,,Nexans,,4 Nov 2011,4 Nov 2011,,,"Design, manufacture and supply a total of 138,000 feet (42km) of power umbilicals and terminations"
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Jack/St. Malo,Jack/St. Malo Phase I,Chevron,EPIC,infield lines/jumpers,,Technip,"Acergy, J. Ray McDermott, Technip",30 Nov 2010,1 Jun 2013,,,"1/11 engineering, fabrication and subsea installation of more than 85km of 10.75-in outer diameter flowlines, steel catenary risers, pipeline end terminations, manifolds, pump stations and tie-in skids"
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Jack/St. Malo,Jack/St. Malo Phase I,Chevron,Installation,Installation,,HMC,,,4 Nov 2013,30 Dec 2013,1.8,
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Jack/St. Malo,Jack/St. Malo Phase I,Chevron,EPIC,"Umbilicals, flying leads, jumpers",,J. Ray McDermott,"Global Industries, J. Ray McDermott, Technip",25 Apr 2011,15 Feb 2014,,,"Umbilicals, flying leads, rigid jumpers. Offshore transport and installation of umbilicals. Fabrication and installation of rigid jumpers."
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Jack/St. Malo,Jack/St. Malo Phase II,Chevron,EPC,Subsea,,OneSubsea,,1 Oct 2013,1 Oct 2013,,,Awarded second phase of Jack/St. Malo project during the 3Q13.
"USA, Gulf of Mexico",USA,Walker Ridge - 584,Julia (GoM),Julia (GoM),ExxonMobil,EPC,Tree supply,,FMC,FMC,3 Sep 2012,3 Sep 2012,,,
"USA, Gulf of Mexico",USA,Walker Ridge - 584,Julia (GoM),Julia (GoM),ExxonMobil,EPIC,flowlines & risers,,Technip,Technip,5 Jun 2013,27 Feb 2013,,,"engineering work would begin in 2013/installation in 2016

6/13: project management, engineering, fabrication, installation and pre-commissioning of over 30-miles (48km) of 10.75-in insulated flowlines, steel catenary risers and flowline end terminations. Valued between 100-250 million euros"
"USA, Gulf of Mexico",USA,,Julia (GoM),Julia (GoM),ExxonMobil,EPC,EPC award McDermott,,McDermott,,1 Jul 2013,1 Jul 2013,,,"EPC of the jumpers, four suction piles associated with the manifold, subsea pump, pump transformer and subsea distribution unit/umbilical termination assembly, as well as the transportation and installation of the manifold, suction piles, flying leads, subsea pump system, the power and control umbilicals and SDU/UTAs. 
Under the contract, DB 50 will install the suction piles and subsea equipment, while multiservice vessel North Ocean 102 will transport and install the umbilicals, flying leads and jumpers."
"USA, Gulf of Mexico",USA,"Walker Ridge - 584, Walker Ridge - 627, Walker Ridge - 759",Julia (GoM) (+ Jack/St. Malo),Julia (GoM),ExxonMobil,Installation,Installation of subsea equipment,,McDermott,,1 Jul 2013,1 Jul 2013,,,"Under McDermott's EPC contract for Julia, DB 50 will install the suction piles and subsea equipment, while multiservice vessel North Ocean 102 will transport and install the umbilicals, flying leads and jumpers."
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Julia (GoM) (+ Jack/St. Malo),Julia (GoM),ExxonMobil,Construction/Fabrication,Umbilical supply,,Oceaneering,,27 Jun 2013,1 Jul 2013,,,"order is for an electro-hydraulic, steel tube umbilical approximately 14 miles (22.5km) - deliver early 2015"
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Julia (GoM) (+ Jack/St. Malo),Julia (GoM),ExxonMobil,Construction/Fabrication,Power umbilical supply,,Nexans,,23 Jul 2013,23 Jul 2013,,,"design, manufacture and supply an integrated power umbilical solution and associated termination hardware; 14-mile 23 km length"
"USA, Gulf of Mexico",USA,Green Canyon - 606,K2 South (+ K2),K2 South,Anadarko,Installation,flowline & umb inst,,Technip,Technip,2 Jun 2009,18 Aug 2009,31 Aug 2009,0.4,K2 expansion - additional well to be brought online. Bids submitted.
"USA, Gulf of Mexico",USA,,,Keathley Canyon Connector,Williams,Installation,Installation,240,Saipem,Saipem,18 Jan 2012,1 Aug 2013,29 Nov 2013,3.9,"installation of exportline 350km, 20in to take place in 2H2013 (estimated 240 million)"
"USA, Gulf of Mexico",USA,Miss Canyon - 129,Mississippi Canyon 129,King South,BP,Installation,SS hardware installation,,Aker Marine Contractors,,22 Aug 2008,15 Nov 2008,20 Nov 2008,0.2,08/09 subsea hardware installation and 1 tree
"USA, Gulf of Mexico",USA,West Delta - 72,West Delta 72,Knight,Newfield Exploration,Installation,Tripod installation,,Cal Dive,,15 Apr 2010,14 May 2010,18 May 2010,0.1,
"USA, Gulf of Mexico",USA,Miss Canyon - 771,Kodiak,Kodiak,Deep Gulf Energy,Engineering/Procurement,Engineering and Procurement,,Star Engineering,,1 Jan 2013,1 Jan 2013,,,Star Engineering handling engineering and procurement
"USA, Gulf of Mexico",USA,Miss Canyon - 771,Kodiak (+ Devil's Tower),Kodiak,Deep Gulf Energy,EPC,Umbilical & control system,,Aker Solutions,,10 Sep 2013,10 Sep 2013,,,Aker contracted for supply of umbilical and control system
"USA, Gulf of Mexico",USA,Miss Canyon - 771,Kodiak,Kodiak,Deep Gulf Energy,Construction/Fabrication,subsea tree fabrication,,Cameron,,10 Sep 2013,10 Sep 2013,,,subsea tree supply
"USA, Gulf of Mexico",USA,Miss Canyon - 771,Kodiak (+ Devil's Tower),Kodiak,Deep Gulf Energy,EPIC,EPIC Pipelay,,Technip,Technip,10 Sep 2014,30 Sep 2014,31 Oct 2014,1.0,Technip awarded LOI
"USA, Gulf of Mexico",USA,East Breaks - 599,Larsen,Larsen tie-back,Anadarko,Installation,"install. jumpers, SDU, flying leads, umb.",,Saipem,,15 Mar 2009,2 Apr 2009,4 May 2009,1.0,"installation of the jumpers, subsea distribution unit (SDU), flying leads, and relocation of the Drysdale step-out umbilical for the Don Larsen (EB 598 #2) and Drysdale #2 (EB 599 #4)"
"USA, Gulf of Mexico",USA,Green Canyon - 238,Little Burn,Little Burn,ERT,Support,Support re-working of a well,,Oceaneering,,16 May 2011,21 May 2011,30 May 2011,0.3,ERT re-working well. Oceaneering contracted Achiever for short work stint
"USA, Gulf of Mexico",USA,Miss Canyon - 546,Longhorn,Longhorn,Eni,Installation,Longhorn pipe install tenders,,Helix,"Acergy, Allseas, Helix, J. Ray McDermott, Subsea 7, Technip",4 Apr 2008,1 Aug 2008,31 Aug 2008,1.0,"Installation tenders for the Longhorn field were due January 7, 2008. 

2/08: Technical clarifications ongoing. Commercial bids to follow. 

 Installation work scheduled for third quarter or early fourth quarter 2008."
"USA, Gulf of Mexico",USA,Miss Canyon - 546,Longhorn,Longhorn,Eni,Installation,Heavylift,,Global Industries,,1 Jun 2009,14 Jul 2009,31 Jul 2009,0.6,
"USA, Gulf of Mexico",USA,Miss Canyon - 546,Longhorn,Longhorn Phase III,Eni,Support,Tie ins,,Boa Offshore,,29 Jan 2014,29 Jan 2014,12 Feb 2014,0.5,Tie in for Longhorn Phase III
"USA, Gulf of Mexico",USA,Miss Canyon - 546,Longhorn,Longhorn Phase III,Eni,Installation,Pipeelay,,EMAS AMC,,16 Jan 2014,6 Feb 2014,13 Feb 2014,0.2,Pipelay Longhorn Phase 3
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,FEED,Topsides FEED,,Mustang Engineering,,1 Jul 2010,1 Jul 2010,1 Jan 2011,6.0,Topsides FEED
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,FEED,Subsea FEED,,"J P Kenny, Inc.",,1 Jul 2010,1 Jul 2010,1 Jan 2011,6.0,Subsea FEED
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,FEED,Hull FEED,,Technip,,1 Jul 2010,1 Jul 2010,1 Jan 2011,6.0,Technip carrying out FEED work on hull
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,EPC,EPC subsea - SS systems and LOF services,,FMC,FMC,11 Jan 2012,18 Jul 2011,18 Jul 2013,24.0,"1/12: FMC has signed an agreement with Anadarko to provide subsea systems and life-of-field services for its Lucius project. Scope of supply includes five subsea production trees and two manifolds; deliveries to begin 4Q2012

7/11: long lead items on order"
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,EPC,EPC - spar hull,,Technip,Technip,16 Dec 2011,16 Dec 2011,3 Jun 2013,17.5,delivery 2Q3013 to Kiewit
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,Engineering/Procurement,Detailled design & procurement,,Mustang Engineering,,20 Dec 2011,20 Dec 2011,28 Sep 2012,9.3,"Detailed design, procurement support and equipment inspection for Lucius spar topsides"
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,EPC,EPC 8 umbilicals,100,Aker Solutions,Aker Solutions,10 Jan 2012,10 Jan 2012,10 Sep 2013,20.0,"Scope of work includes the project management, design, engineering, and manufacturing of two electro-hydraulic dynamic production umbilicals, two gas lift dynamic umbilicals, three electro-hydraulic infield umbilicals and one gas lift infield umbilical, as well as all associated ancillary equipment."
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,EPC,EPC spar topsides,,Kiewit Offshore Services,Kiewit Offshore Services,15 Feb 2012,15 Feb 2012,,,Kiewit in place for the topsides - no announcement to date
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,EPIC,EPIC pipelines,,Heerema,,,1 Jan 2013,,,Direct negotiation with Heerema for pipelay works (details of scope unclear)
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,Support,Hull transport,,Dockwise,,,17 Jun 2013,9 Aug 2013,1.7,"transport from Pori, Finland to US Gulf - Hull to deliver 2Q2013"
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,Installation,"installation of flexibles - umbilicals, jumpers",,Technip,"EMAS AMC, Saipem, Subsea 7, Technip",5 Apr 2012,20 Aug 2013,30 Oct 2013,2.3,"installation of a flexible flowline(1), multiple flexible gas lift jumpers(2); main gas lift and infield umbilicals(3); subsea distribution units; electrical, fiber optic and hydraulic flying leads, design and fabrication of the flexible flowline end termination, fabrication and installation of rigid jumpers, burial of flowlines, flooding and hydro-testing of the flowline system. Will use a number of Global Industries key assets along with the Deep Blue."
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,Installation,Hull and topsides installation,,Heerema,,2 Jul 2012,2 Sep 2013,10 Mar 2014,6.2,Heerema to install hull and topsides - estim 3Q2013
"USA, Gulf of Mexico",USA,Miss Canyon - 252,Macondo,Macondo Oil Spill,BP,Lease,Contract for Seillean FPSO,,Frontier Drilling,,22 Jun 2010,28 Jun 2010,11 Oct 2010,3.4,"Seillean FPSO will support BP recovery efforts at Macondo. 100-day contract @ USD 304,000 dayrate"
"USA, Gulf of Mexico",USA,,Mad Dog,Mad Dog drilling rig replacement,BP,Removal EPIC,removal rig mod + inst new rig mod,,Saipem,,7 Apr 2010,1 Dec 2011,31 Jan 2012,2.0,"4/10 removal of old rig +inst of drilling rig
inst window late 2011/early 2012"
"USA, Gulf of Mexico",USA,Green Canyon - 825,Mad Dog South,Mad Dog Phase II,BP,Engineering,Spar conceptual design,,Technip,,4 Jun 2010,4 Jun 2010,4 Nov 2010,5.0,Conceptual design competition between Technip and FloaTEC
"USA, Gulf of Mexico",USA,Green Canyon - 825,Mad Dog South,Mad Dog Phase II,BP,Engineering,Spar conceptual design,,Floatec,,4 Jun 2010,4 Jun 2010,4 Nov 2010,5.0,Conceptual design competition between Technip and FloaTEC
"USA, Gulf of Mexico",USA,Green Canyon - 825,Mad Dog South,Mad Dog Phase II,BP,FEED,FEED,,Technip,"Floatec, Technip",30 Apr 2012,24 Feb 2011,30 Jun 2012,16.1,"4/12: work on detailed design to begin in 2H 2012

Pre-FEED scope for wet tree spar followed by 12 months of FEED"
"USA, Gulf of Mexico",USA,Green Canyon - 825,Mad Dog South,Mad Dog Phase II,BP,FEED,Topsides FEED,,Amec,,23 Apr 2012,1 May 2012,30 Nov 2012,7.0,Topsides FEED
"USA, Gulf of Mexico",USA,Green Canyon - 825,Mad Dog South,Mad Dog Phase II,BP,FEED,FPS FEED,,,"Aker Solutions, GVA, Houston Offshore Engineering",28 Feb 2014,30 May 2014,30 May 2015,12.0,12-month FEED for FPS unit
"USA, Gulf of Mexico",USA,Main Pass - 107,Main Pass 107,Main Pass 107 Phase 2,LLOG,Installation,MP 107 pipelay,,Cal Dive,,30 Apr 2008,23 Jul 2008,9 Aug 2008,0.6,
"USA, Gulf of Mexico",USA,Main Pass - 108,Main Pass 108,Main Pass 108 Phase II,W & T Offshore,Installation,,,Global Industries,,1 Apr 2009,14 Apr 2009,29 May 2009,1.5,
"USA, Gulf of Mexico",USA,Main Pass - 116,Main Pass 116,Main Pass 116 Phase II,XTO Energy,Installation,platform installation,,Contractor TBC,,15 Mar 2011,15 May 2011,20 May 2011,0.2,
"USA, Gulf of Mexico",USA,Main Pass - 138,Main Pass 138,Main Pass 138 removal,McMoRan,Removal EPIC,platform removal prep,,Cal Dive,,1 Jun 2012,16 Jun 2012,26 Jun 2012,0.3,
"USA, Gulf of Mexico",USA,Main Pass - 161,Main Pass 161,Main Pass 161,Walter Oil & Gas,Removal EPIC,,,Manson Gulf LLC,,31 Jul 2008,26 Oct 2008,30 Nov 2008,1.1,
"USA, Gulf of Mexico",USA,Main Pass - 200,Main Pass 200,Main Pass 200,Cimarex Energy Co.,Installation,Zap-lok line installation,,IOS,IOS,20 Apr 2007,15 Jul 2007,15 Sep 2008,14.0,Zap-lok line installation
"USA, Gulf of Mexico",USA,Main Pass - 244,Main Pass 244,Main Pass 244 EPL,Energy Partners,Installation,pipeline installation,,,,30 Sep 2014,30 Sep 2014,,,
"USA, Gulf of Mexico",USA,Main Pass - 308,Main Pass 308,Main Pass 308,Apache,Installation,Apache installation,,OSFI,,,1 Sep 2011,,,installation of Apache platform
"USA, Gulf of Mexico",USA,Main Pass - 73,Main Pass 73,Main Pass 73,Energy XXI,Installation,installing anodes,,Epic Divers,,6 Apr 2009,15 May 2009,2 Jun 2009,0.6,
"USA, Gulf of Mexico",USA,Miss Canyon - 199,Mandy,Mandy,LLOG,Installation,Subsea Tree Installation,,InterMoor,,,11 Mar 2011,13 Mar 2011,0.1,"Each tree, weighing 45 tons each, was installed on the two existing well locations utilizing Shell’s Heave Compensated Landing System and anchor handling vessel AHTS Joshua Chouest"
"USA, Gulf of Mexico",USA,Miss Canyon - 199,Mandy (+ Matterhorn),Mandy,LLOG,EPIC,flowline & umbilical,,Global Industries,Global Industries,14 Apr 2011,5 Mar 2012,30 Apr 2012,1.8,Global awarded pipelay works in December before Technip acquisition was completed.
"USA, Gulf of Mexico",USA,,,Marine Well Containment System,MWCC,FEED,FEED Scope,,Technip,,7 Oct 2010,7 Oct 2010,1 Mar 2011,4.8,"scope of the work includes system engineering and design of specific subsea
components including the containment assembly, manifold, control umbilicals,
accumulator, dispersant injection, risers, and flowlines."
"USA, Gulf of Mexico",USA,,,Marine Well Containment System,MWCC,EPC,EPC contract for MWCS,,Technip,Technip,16 Mar 2011,16 Mar 2011,17 Jul 2012,16.0,"design, procurement and fabrication of the umbilical, riser and flowline components of MWCC's expanded well containment response system, set for completion in 2012. Scope includes two deepwater riser systems utilising buoyancy elements, connection systems and flexible jumpers. Also, two shallow water systems utilizing a lazy wave catenary configuration and one control umbilical. 

Subsea objects to be used and installed on location in event of a spill. To remain as inventory until that time."
"USA, Gulf of Mexico",USA,,,Marine Well Containment System,MWCC,EPC,Topsides process modules for tankers,,Weatherford,,16 Mar 2011,16 Mar 2011,,,"contract for the design and construction of topsides process modules for two dynamically positioned tankers to operate in the US GoM, and scheduled for completion in 2012."
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B,Mars B,Shell,Installation,Installation of West Boreas umbilical,,Subsea 7,"Subsea 7, Technip",26 Sep 2011,,,,installation of West Boreas umbilical
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B,Mars B,Shell,Construction/Fabrication,Drilling and production equip,27,Dril-Quip,,14 Oct 2010,14 Oct 2010,,,"will provide subsea wellhead equipment, production riser tieback connectors and drilling riser components for the Olympus TLP"
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B,Mars B,Shell,EPC,Mars B EPC - topsides,,Kiewit Offshore Services,"Gulf Island Fabrication, J. Ray McDermott, Kiewit Offshore Services",8 Nov 2010,8 Nov 2010,,,No official announcement of award by Kiewit has been made
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B,Mars B,Shell,Construction/Fabrication,Subsea and topsides systems - West Boreas,,FMC,,21 Dec 2010,21 Dec 2010,10 Sep 2012,20.6,"FMC will provide six subsea production trees for the field, each rated at 15,000 psi. The contractor will also manufacture and provide subsea and topside controls, one manifold and related systems and equipment. Deliveries will commence in the third quarter of 2012."
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B,Mars B,Shell,EPC,Mars B EPC - Hull,,Samsung,"Daewoo Intl, Hyundai Heavy Industries, Samsung",13 Sep 2010,15 Jun 2011,,,
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B (+ West Delta 143),Mars B,Shell,EPC,WD 143 C fabrication,,McDermott,,4 Aug 2011,4 Aug 2011,1 May 2013,20.9,"fabrication for the West Delta 143 “C” deck, jacket, piles, and bridge."
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B,Mars B,Shell,Support,Transportation of hull for Mars B Olympus TLP,,Dockwise,,28 Nov 2011,26 Nov 2012,,,"transportation from South Korea to Ingleside, Texas"
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B (+ West Delta 143),Mars B,Shell,Installation,Olympus and West Delta 143 C platform installation,,Heerema,,1 Feb 2012,1 Jan 2013,11 Apr 2013,3.3,WD 143 platform C installation scope and bridge connection
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B (+ West Delta 143),Mars B,Shell,Support,Support for Shell,,Oceaneering,,11 Oct 2013,13 Oct 2013,,,
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B,Mars B,Shell,EPIC,EPIC pipelines - export & flowlines,,Allseas,,,5 May 2014,,,Direct negotiation with Shell for export and flowline installations.
"USA, Gulf of Mexico",USA,Miss Canyon - 898,Mars B,Mars B,Shell,Support,West Boreas Support,,Harvey Gulf International Marine,,,13 Aug 2014,1 Sep 2014,0.6,
"USA, Gulf of Mexico",USA,Miss Canyon - 807,Mars,Mars living quarters addition,Shell,Construction/Fabrication,Fabrication of module,,,,,2 May 2011,31 May 2012,13.0,LoneStar Marine Fabrication contracted for fabrication of module. 72ft (22 metres) by 40ft (12 metres) by 45ft (14 metres)
"USA, Gulf of Mexico",USA,Eugene Island - 11,Mary Rose,Mary Rose,Contango Oil & Gas,Installation,EI-11  two plats,,OSFI,,30 Nov 2007,27 Feb 2008,12 Mar 2008,0.5,
"USA, Gulf of Mexico",USA,"Matagorda Is - 587, Miss Canyon - 587",Matagorda 587,Matagorda 587 - Removal,"Arena Offshore, LLC",Removal EPIC,Platform Removals,,IOS,,1 Mar 2012,,,,
"USA, Gulf of Mexico",USA,Matagorda Is - 618,Matagorda 618,Matagorda 618 Removal,Mariner Energy,Removal EPIC,Platform Removal,,TETRA,,1 Jul 2010,8 Oct 2010,,,97 fsw
"USA, Gulf of Mexico",USA,Matagorda Is - 623,Matagorda 623,Matagorda 623 - 2011,Apache,Installation,Pipelay,,Bisso Marine,,2 Mar 2011,,,,1.4-Mile pipelay in 85 fsw
"USA, Gulf of Mexico",USA,Miss Canyon - 243,Matterhorn (+ Mississippi Canyon 20),Matterhorn ppl reroute,Total,Installation,Matterhorn PPL reroute,,Technip,,21 Jul 2009,,,,7/09: re-routing the 10-in Matterhorn pipeline to tie into an existing 12-in trunkline in MC 108.
"USA, Gulf of Mexico",USA,East Cameron - 42,East Cameron 42 (+ High Island A-561),McMoRan 2012 decommissioning program,McMoRan,Removal EPIC,IOS/McMoRan removal contract,8,IOS,,5 Jun 2012,9 Jul 2012,,,Contract value is an estimate.
"USA, Gulf of Mexico",USA,East Cameron - 42,"East Cameron 42 (+ Breton Sound 34, South Marsh 146, South Marsh 17)",McMoRan 2012 decommissioning program,McMoRan,Removal EPIC,LL&G/McMoRan removals,3,LL&G Construction,,5 Jun 2012,23 Jul 2012,,,"Breton Sound (state lease) removals, along with SMI area removals. Contract value is an estimate."
"USA, Gulf of Mexico",USA,East Cameron - 42,East Cameron 42 (+ Ship Shoal 322),McMoRan 2012 decommissioning program,McMoRan,Removal EPIC,Tetra/McMoRan removal,4,TETRA,,5 Jun 2012,3 Sep 2012,7 Sep 2012,0.1,"Tetra contracted to remove SS 322 platform (A), part of the McMoRan 2012 decommissioning program. (Arapaho or Tetra Hedron likely to remove.) Contract value is an estimate."
"USA, Gulf of Mexico",USA,East Cameron - 42,"East Cameron 42 (+ Deep Tern, Eugene Island 227, Ship Shoal 58, Mustang Island 782)",McMoRan 2012 decommissioning program,McMoRan,Removal EPIC,Platform removals,5,Contractor TBC,"Bisso Marine, Cal Dive, IOS, LL&G Construction",15 Nov 2012,15 Nov 2012,,,"McMoRan has issued RFQs for a package of platform removals in the EC, SS, MU, EI, HI, WC, SM areas. Contractors are to submit price to remove each platform; may bid on all or any of the removals. Contract value is an estimate."
"USA, Gulf of Mexico",USA,West Cameron - 618,"West Cameron 618 (+ Eugene Island 198, High Island A-499)",McMoRan Platform Removals - 2011,McMoRan,Removal EPIC,McMoRan removal programme,,Global Industries,,1 Mar 2011,10 Jun 2011,,,"06/11Waiting on Permits
3/11Removal programme to begin in May - DLB Hercules to carry out removals"
"USA, Gulf of Mexico",USA,West Cameron - 522,"West Cameron 522 (+ Grand Isle 103, High Island A-471, West Cameron 426)","McMoRan removal campaign - HI, WC, GI",McMoRan,Removal EPIC,4 removals for McMoRan,,OSFI,OSFI,14 Apr 2011,15 May 2011,,,four removals for McMoRan
"USA, Gulf of Mexico",USA,South Timbalier - 311,South Timbalier 311,Megalodon,Walter Oil & Gas,Construction/Fabrication,Megalodon fabrication contract,,Gulf Island Fabrication,Gulf Island Fabrication,8 Nov 2013,8 Nov 2013,,,LOI received for fabrication of a jacket/piles and topsides for the Megalodon platform
"USA, Gulf of Mexico",USA,South Timbalier - 311,South Timbalier 311,Megalodon,Walter Oil & Gas,Installation,Platform Installation,,McDermott,,21 Jul 2014,1 Dec 2014,31 Dec 2014,1.0,"McDermott will be utilizing their Derrick Barge 50 to perform a side lift of the 3,300 ton jacket and set the 2,100 ton topsides."
"USA, Gulf of Mexico",USA,Miss Canyon - 72,Miss Canyon 72,Miss Canyon 72,LLOG,Installation,"6"" Pipeline",,Global Industries,,2 Mar 2009,20 Jun 2009,30 Jun 2009,0.3,"06/09 completing hook-up and installation of 6"" pipeline and parts"
"USA, Gulf of Mexico",USA,Miss Canyon - 63,South Pass 49 (+ Mississippi Canyon 63),Mississippi Canyon Block 63 Removal,Chevron,Removal EPIC,Removing casings,,TETRA,,1 Jun 2011,,,,"PULLED 10 3/4"" & 20"" CSGS"
"USA, Gulf of Mexico",USA,Mustang Island - 759,Mustang Island 759,Mustang Island 759 - Removal,EOG,Removal EPIC,Platform Removal,,TETRA,,1 Feb 2011,29 Mar 2011,5 Apr 2011,0.2,
"USA, Gulf of Mexico",USA,Miss Canyon - 474,Na Kika (+ Greater Galapagos),Na Kika Phase 3,BP,EPIC,Galapagos/NaKika Ph3 installation,,Subsea 7,"Subsea 7, Technip",13 Apr 2010,1 Oct 2010,31 Oct 2010,1.0,out installation work at the operator’s Galapagos and Na Kika Phase 3 developments; offshore installation set to take place in late 2010 utilising the contractor’s construction vessel Skandi Neptune
"USA, Gulf of Mexico",USA,Miss Canyon - 474,Na Kika,Na Kika Phase 3,BP,Installation,installation at Na Kika Ph3,,Harkand,,1 Nov 2014,8 Nov 2013,12 Dec 2014,13.1,
"USA, Gulf of Mexico",USA,East Breaks - 602,Nansen,Nansen Expansion,Anadarko,Installation,EPIC,,Technip,"Acergy, Helix, Subsea 7, Technip",9 Mar 2010,1 Apr 2010,8 Jun 2010,2.2,"installation of a 2-mile (3.2km) 5-in flowline and associated umbilical, as well as 1.7 miles (2.7km) of 6-in pipeline and associated umbilical"
"USA, Gulf of Mexico",USA,Ship Shoal - 263,Ship Shoal 263,Nautilus - Contango,Contango Oil & Gas,Installation,Platform Deck Installation,,Manson Gulf LLC,,3 May 2010,2 Jun 2010,10 Jun 2010,0.3,
"USA, Gulf of Mexico",USA,Green Canyon - 613,Neptune,Neptune addition,BHP Billiton,EPIC,EPIC pipelay,,Technip,,10 Apr 2014,3 Nov 2014,,,single well tieback - flowline & umbilical installation
"USA, Gulf of Mexico",USA,Green Canyon - 613,Neptune,Neptune TLP,BHP Billiton,Installation,Replace TLP cables,,Phoenix International,,2 Feb 2009,3 Jun 2009,20 Jun 2009,0.6,
"USA, Gulf of Mexico",USA,Garden Banks - 506,Danny-Noonan (+ Barite South),Noonan,ERT,Installation,Umbilical installation,,Canyon Offshore,,30 Apr 2008,22 Jul 2008,9 Aug 2008,0.6,
"USA, Gulf of Mexico",USA,North Padre Is - 892,North Padre Island 892,North Padre 892 Removal,Shell,Removal EPIC,Platform removal and decom,,Superior Energy Services,,3 Sep 2012,24 Sep 2012,9 Oct 2012,0.5,
"USA, Gulf of Mexico",USA,Garden Banks - 515,Ozona Deep (+ Auger),Ozona Deep,Marathon,EPIC,Pipe installation,,Technip,"Acergy, Subsea 7, Technip",25 Aug 2009,24 May 2010,28 May 2010,0.1,"also includes 2 PLETs, an anchor pile and rigid jumper"
"USA, Gulf of Mexico",USA,Garden Banks - 515,Ozona Deep,Ozona Deep,Marathon,Installation,Pipelay installation,,Technip,,18 Aug 2010,26 Oct 2010,25 Nov 2010,1.0,
"USA, Gulf of Mexico",USA,Garden Banks - 515,Ozona Deep,Ozona Deep,Marathon,Support,,,Oceaneering,,,21 Oct 2011,31 Oct 2011,0.3,"3,450 fsw"
"USA, Gulf of Mexico",USA,Mobile - 950,Mobile 950 (+ Mobile 951),Pebble Beach,Royal Production,Removal EPIC,Platform Removal,,Bisso Marine,,2 May 2011,1 Jul 2011,9 Jul 2011,0.3,40 fsw
"USA, Gulf of Mexico",USA,Green Canyon - 385,Pegasus (+ Allegheny),Pegasus,Eni,Installation,Exportline installation,,Helix,,28 Sep 2007,4 Aug 2008,14 Nov 2008,3.3,
"USA, Gulf of Mexico",USA,Green Canyon - 385,Pegasus,Pegasus addition,Eni,EPC,umbilical supply,,Aker Solutions,,15 Jan 2013,15 Jan 2013,,,
