FieldsBase Pipeline Search - Data Download,,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:14 for Dirk Rook,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Start region,End region,Start country,End country,Start block,End block,Start field,End field,Start water depth (m),End water depth (m),Project,Operator,Status,Type,Function,Product,Diameter (inch),Length (km),Installation year,Remark
,West Africa,,Nigeria,,,,,"1,030",,Bonga Phase I,Shell,Installed,Umbilical,,,,10,2004,
,West Africa,,Nigeria,,,,,"1,030",,Bonga Phase I,Shell,Installed,Umbilical,,,,10,2004,
,West Africa,,Nigeria,,,,,"1,030",,Bonga Phase I,Shell,Installed,Umbilical,,,,10,2004,
,West Africa,,Nigeria,,,,,"1,000",,Bonga Phase I,Shell,Installed,Umbilical,,,,10,2004,
,"USA, Gulf of Mexico",,USA,,Galveston - A-244,,Galveston A-244,964,111,Boomvang,Williams,Installed,Trunkline,Production,Gas,18,61,2001,Gas export line = Seahawk Gathering System. Oil export line = BANJO System.
,"USA, Gulf of Mexico",,USA,,Galveston - A-244,,Galveston A-244,964,111,Boomvang,Williams,Installed,Exportline,Production,Oil,16,61,2001,Gas export line = Seahawk Gathering System. Oil export line = BANJO System.
,Mediterranean/Black Sea,,Libya,,,,,,,Bouri Subsea 1999,Eni,Installed,Umbilical,,,,10,1998,
,Mediterranean/Black Sea,,Libya,,,,,,,Bouri Subsea 1999,Eni,Installed,Umbilical,,,,8,1998,
,Mediterranean/Black Sea,,Libya,,,,,,,Bouri Subsea 1999,Eni,Installed,Umbilical,,,,6,1998,
,Far East,,China,,,,,33,,Boxi Qikou,CNOOC,Installed,Umbilical,,,,7,2004,
,Northwest Europe,,United Kingdom,,,,,124,112,Braemar,Marathon,Installed,Umbilical,,,,12,2003,
,,,,,,,,15,15,Brazos 478,Louis Dreyfus,Installed,Flowline,Production,,8,4,1997,"""American Exploration"" former operator."
,,,,,,,,15,15,Brazos 478,Louis Dreyfus,Installed,Flowline,Production,,3,1,1997,"""American Exploration"" former operator."
,,,,,,,,15,15,Brazos 478,Louis Dreyfus,Installed,Flowline,Production,,3,2,1997,"""American Exploration"" former operator."
,,,,,,,,15,15,Brazos 478,Louis Dreyfus,Installed,Flowline,Production,,6,3,1997,"""American Exploration"" former operator."
,"USA, Gulf of Mexico",,USA,,Brazos - 365,,Brazos 365,,19,Brazos area,Walter Oil & Gas,Installed,Exportline,Production,Gas,,,1995,
,Northwest Europe,,United Kingdom,,42/13,,Breagh,0,62,Breagh Phase I,RWE Dea,Installed,Umbilical,,,3,101,2011,3-in MEG line and fiber optic cable for communication and control of platform. Line trenched and allowed to backfill
,Northwest Europe,,United Kingdom,,,,,152,138,BritSats I,ConocoPhillips,Installed,Umbilical,,,,41,2007,
,Northwest Europe,,United Kingdom,,,,,152,140,BritSats I,ConocoPhillips,Installed,Umbilical,,Methanol,3,25,2007,Methanol Line
,Australia/New Zealand,,Australia,,WA-31-R,,Browse LNG,,,Browse FLNG 1,Woodside,Planned,Umbilical,,,2,10,2021,
,Australia/New Zealand,,Australia,,WA-32-R,,Browse LNG,,,Browse FLNG 2,Woodside,Planned,Umbilical,,,2,10,2022,
,Australia/New Zealand,,Australia,,WA-30-R,,Browse LNG,,,Browse FLNG 3,Woodside,Planned,Umbilical,,,2,10,2023,
,Australia/New Zealand,,Australia,,,,,,,Browse LNG (Onshore),Woodside,Cancelled,Umbilical,,,2,10,2017,
,Northwest Europe,,United Kingdom,,21/10,,,118,122,Bruce Phase I,BP,Installed,Trunkline,Production,Condensate,24,148,1992,248-km trunkline between Bruce and Forties Unity platform was installed in 1991-1992 by Castoro 6.
,South America,,Brazil,,BS-3,,Tubarao,46,46,BS-3 Integrated,Petrobras,Cancelled,Umbilical,,,2,1,2017,
,South America,,Brazil,,BS-3,,BS-3 Integrated Project,195,200,BS-3 Integrated,Petrobras,Cancelled,Umbilical,,,2,4,2018,
,,,,,,,,30,0,Bukit Tua Phase I,ConocoPhillips,Installed,Exportline,Production,Gas,13,40,2013,12.75-in
,Middle East,,Qatar,,,,,21,,Bul Hanine Phase VII,Qatar Petroleum,Installed,Umbilical,,,,23,2007,
,Mediterranean/Black Sea,,Ukraine,,,,Bulganak North (Severo-Bulganakskoye),0,15,Bulganak North,Chernomorneftegaz,Installed,Umbilical,,,2,17,2003,
,Caspian Sea,,Azerbaijan,,Bulla Deniz,,Bulla-Deniz (Bulla-More),0,0,Bulla-Deniz 1989,SOCAR,Installed,Umbilical,Production,Oil,0,19,1989,
,Northwest Europe,,United Kingdom,,,,,,,Buzzard,Nexen,Installed,Umbilical,,,,3,2006,
,Northwest Europe,,United Kingdom,,,,,,,Buzzard,Nexen,Installed,Umbilical,,,,3,2006,
,Northwest Europe,,Norway,,,,Byggve,140,,Byggve,Total,Installed,Umbilical,,,,14,2003,
,,,,,,,,46,0,Campeche Bay Field,Pemex,Installed,Exportline,Production,Oil,48,21,1981,
,,,,,,,,61,61,Campeche Bay Fields,Pemex,Installed,Exportline,Production,,,20,1988,
,South America,,Brazil,,BES-100,,Canapu,"1,608","1,608",Canapu,Petrobras,Installed,Umbilical,,,1,21,2009,
,,,,,,,,,,Cannakale,Chevron,Installed,Exportline,Production,Gas,36,18,2006,"Pipeline to be inaugurated July 14, 2007."
,"USA, Gulf of Mexico",,USA,,,,,140,140,Canvasback,Energy Partners,Installed,Umbilical,,,,11,2004,
,Far East,,China,,,,,22,,Caofeidian (CFD) 11-1/11-2,Anadarko,Installed,Umbilical,,,2,13,2007,
,Far East,,China,,,,,22,,Caofeidian (CFD) 11-6/12-1S,Anadarko,Installed,Umbilical,,,2,13,2007,
,,,,,,,,,,Caribbean Sea CALM Buoy,CB&I,Installed,Exportline,Production,Oil,48,2,1994,
,"USA, Gulf of Mexico",,USA,,Walker Ridge - 206,,Cascade/Chinook,"2,499","2,499",Cascade/Chinook Phase 1,Petrobras,Installed,Umbilical,,,2,16,2009,70km total umbilicals
,Australia/New Zealand,,Australia,,AC/L7,,Cash-Maple Development,82,83,Cash-Maple Development,PTTEP,Possible,Umbilical,,,,10,2019,
,Australia/New Zealand,,Australia,,AC/L7,,Cash-Maple Development,83,89,Cash-Maple Development,"Coogee Resources, PTTEP",Possible,Umbilical,,,,10,2019,
,Australia/New Zealand,,Australia,,,,,,,Cash-Maple Development,PTTEP,Possible,Umbilical,,,2,30,2019,
,Australia/New Zealand,,Australia,,AC/L7,,Cash-Maple Development,83,85,Cash-Maple Development,PTTEP,Possible,Umbilical,,,,10,2019,
,Australia/New Zealand,,Australia,,VIC/P44,,Casino,0,47,Casino,Santos,Installed,Umbilical,Production,,3,40,2005,
,,,,,,,,23,0,Catenary Buoy Mooring System,Pertamina,Installed,Exportline,Production,,20,12,1992,
,South America,,Brazil,,,,,"1,280","1,268",Caxareu,Petrobras,Planned,Umbilical,,,,24,2017,
,West Africa,,Equatorial Guinea,,,,,850,,Ceiba Phase 1,Hess,Installed,Umbilical,,,,12,2003,
,,,,,,,,,,Chernomornaftogaz pipeline,,Installed,Trunkline,,,,,1992,
,Australia/New Zealand,,Australia,,WA-28-L,,Cimatti,610,547,Cimatti,Woodside,Possible,Umbilical,,,2,6,2018,04/13: Original dev. concept subsea tie-back to Enfield's FPSO is scrapped. Woodside to consider other alternatives.
,Australia/New Zealand,,Australia,,WA-286-P,,Cliff Head,0,18,Cliff Head,Roc Oil,Installed,Umbilical,Production,,2,14,2005,
