FieldsBase Field Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:44 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Project,Operator,Status,Production type,Production start date,Water depth (m),Remark
Cornea,Australia/New Zealand,Australia,WA-342-P,,,Discovery,Oil & Gas,,82,
Corowa,Australia/New Zealand,Australia,WA-41-R,,Santos,Discovery,Oil,,85,"Flowed at 5,276 b/d + 2.28 million scf/d gas. Located 40km west of thevenard island and 24km south of griffin field."
Corvus,Australia/New Zealand,Australia,,,Apache,Discovery,,,65,Flowed at stablised rate of 15 million scf/d and 20 b/d cond.50km north east of harriet. New zealand o&g has 10% stake.
Cossack Wanaea Lambert Hermes (CWLH),Australia/New Zealand,Australia,"WA-8-R, WA-9-L","Wanaea/Cossack, Lambert/Hermes, CWLH redevelopment, Wanaea/Cossack support work",Woodside,Production,Oil,17 Nov 1995,104,Fields tied to Cossack Pioneer FPSO
Cowle,Australia/New Zealand,Australia,,Cowle,WAPET,Production,,13 May 1991,12,Single steel monopod platform producing to thevenard island field is currently shut in but may be re-commissioned later
Crackling South,Australia/New Zealand,Australia,,,Tap Oil,Discovery,,,12,Potential to contain mean volume of 30 million barels of recoverable oil.
Cronus,Australia/New Zealand,Australia,AC/P52,,,Prospect,Condensate & Gas,,740,08/13: OGIP up to ~7.8 TCF with potential liquids
Crown,Australia/New Zealand,Australia,WA-274-P,,,Discovery,Gas,,440,11/12: Located between the Poseidon and Ichthys fields in the offshore Browse Basin
Crux,Australia/New Zealand,Australia,AC/L9,"Crux Liquids Project, Crux FLNG",Shell,Possible,Condensate & Gas,13 Feb 2014,168,"04/11: Estimated at approximately 1.8Tcf and 70MMbbl recoverable. Licence requires recovery operations to commence by Feb 2014
12/10: FID expected end 2011. Appraisal and engineering studies completed.
12/09: Nexus terminated previous FPSO deal with Viking and is in talks with SBM. Project on hold pending sale of part of Crux interest. Auriga discovery boosts production potential.
03/09: Devt includes 4 production wells, and 3 gas injection wells, tied to FPSO. 
10/06: Nexus will extract condensate till 2020, then hand over operatorship to Shell to exploit gas and remaining condensate."
Cycad,Australia/New Zealand,Australia,TP/8,,Ampolex,Discovery,Gas,,17,
Cyrano,Australia/New Zealand,Australia,"EP 364, R3/R1",Cyrano,Oil Basins,Possible,,10 Oct 2016,15,"11/13: Preferred development strategy budgeted at about USD 70 million includes the incorporation of a conventional jack-up converted to a mobile offshore production unit (MOPU), a floating storage and offloading (FSO) vessel and shuttle tanker for transportation. 
Intersected 29 metre gross hydrocarbon column. Well may be fast tracked due to close proximity to airlie island facilities."
Dawn,Australia/New Zealand,Australia,TL/1,,Apache,Abandoned,,,105,Well located 3.8km northwest of linda field plans todevelop fields togeth(01/03) Reservoir quality poor-plugged+aban(08/01/03)
Dinichthys,Australia/New Zealand,Australia,WA-285-P,,INPEX,Discovery,,,263,Flowed at 22 million scf/d gas and 1300 b/d condensate. Water depth between 90-340 msw. Further assess.Ichthys deep disc (11/03)
Dionysus,Australia/New Zealand,Australia,WA-253-P,,Chevron,Discovery,,,100,'major'gas find - additional seismic in area planned.Texaco holds 50% of area.
Dixon,Australia/New Zealand,Australia,WA-28-P,Dixon,Woodside,Discovery,,31 Dec 2018,90,"Proposed subsea manifold tie back to wanaea field FPSO.
01/2013: No news of development."
Dockrell,Australia/New Zealand,Australia,"WA-28-P, WA-5-L, WA-6-L",Dockrell,Woodside,Discovery,,31 Dec 2018,128,"09/10: the development plan may be santioned.
12/05: see western flank gas development  07/06:poss. Dlpmt with keast."
Dolphin,Australia/New Zealand,Australia,,Dolphin,ExxonMobil,Production,,1 Jun 1990,42,Single simple monotower platform tied to shore - perch production is throughput from dolphin
Doric,Australia/New Zealand,Australia,TL/1,,Apache,Discovery,Gas,,38,
Double Island,Australia/New Zealand,Australia,TL/6,Double Island,Apache,Production,,19 Feb 2003,8,11km swest of varanus island. Est rec 3-4m bbls. Drilling doub isl- 1h+4 exp wells(01/02) Plans for fast track tie in to southplato/gib
