FieldsBase Requirement Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:50 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract status,Contract type,Work scope,Contractor bids,Commercial bids due,Award date,Start date,End date,Duration (month),Remark
Indian Ocean,Bangladesh,,,Bay of Bengal FSO,Petrobangla,Prequalification,EPIC,EPIC FSRU & 1 ppl,,,16 Feb 2015,1 May 2015,,,"01/11: 10 companies bid for the prequalification: GDF Suez LNG Supply SA, Vitol Asia, Golar LNG Energy, Teekay LNG Partners, Samsung C&T, Astra Oil & Excelerate Energy Consortium, Hiranandi Electricity, Ros Roca Group, BW Gas AS, and Unination Energy."
Indian Ocean,India,Mumbai High,B-127 cluster (+ Mumbai High),B-127 cluster,ONGC,Tendering,Installation,T&I for B-127 (Subcontract from Punj Lloyd),Swiber,,15 Nov 2014,15 Nov 2014,30 Apr 2015,5.4,"07/14: Punj Lloyd and Swiber near to concluding a joint proposal but no contract signed yet. 
07/14: Swiber to take over from Punj Lloyd the B-127 scope."
Indian Ocean,India,Bassein/South Bassein,Bassein,Bassein Development Project 2017,ONGC,Tendering,EPIC,EPIC for 3 platforms + interplatform bridges,"Essar Offshore, Guna Nusa, Hyundai Heavy Industries, Larsen & Toubro, Technip",18 Sep 2014,25 Dec 2014,25 Dec 2014,31 Dec 2015,12.2,"10/14: Another month-long extension due. ONGC has yet to issue a bid addendum for a scope revision for additional gas compressor modules and the supporting structures.
09/14: Another month-long extension of bid deadline.
08/14: Further BCD extension until mid-September 2014. the operator may still be waiting for board approval for a bid addendum related to a proposed revision of scope that could include additional gas compressors.
07/14: Tender deadline extended to Aug 19, NOA expected Nov 25, 2014. BH WHP to be completed by Dec 31, 2015, while jackets of BCPA-3 and BLQ-3 to finish by Jan 31, 2016. Decks to be installed by Dec 31, 2016, and overall project completion for Feb 28, 2017.
07/14: Tender close date delayed into July.
05/14: Tender delayed, with bidders expecting operator to close tender only in June.
03/14: Still no bid addendum.
01/14: No addition to workscope, but deadline extended to Feb 10, 2014.
12/13: ONGC yet to issue any bid addendum wrt to addition compressor unit.
10/13: Scope to be expanded to include one more compressor unit. Meanwhile, sources also predict that ONGC may split the tender package, by separating the process platform, the BCPA-3, from the other facilities which include the BH wellhead platform, living quarters platform BLQ-3, and two bridges connecting the three platforms. 
07/13: Bid deadline extended. Potential team-up between the Indonesia-based fabricator Guna Nusa and Swiber India; the latter will undertake the transportation and installation (T&I) scope of the contract. 
Value of contract worth USD 300-400 million.
05/13: Only eight out of 15 companies which purchase bid documents attended pre-bid conference.
04/13: The BH platform will be completed around 15 months after the NOA, installing on location by December 31, 2014. The jackets for BCPA-3 and BLQ-3 will be completed and installed four months later, at the end of April 2015. The topsides for BCPA-3 and BLQ-3 are set for completion through offshore installation at the end of November 2015, around 30 months after NOA. The entire project is set for completion within 30 months, or at the end of February 2016. 
03/13: The scope covers one process platform, one 50-person living quarters platform and one wellhead platform. Other scope includes two inter-platform bridges of several tens of metres long."
Indian Ocean,India,Tapti-Daman,"C-Series (+ Daman cluster, Neelam)",C-26 cluster (ex C-Series Phase 2),ONGC,Tendering,Installation,Pipelay for C-26 (reduced scope 15km),"Essar Offshore, Larsen & Toubro, Swiber, Valentine",,20 Nov 2014,20 Nov 2014,1 Oct 2015,10.3,"09/14: Post-tender negotiations failed to close the price gap to a level that is acceptable to both parties. ONGC planning a retender and may expand the contract scope to add more pipelines to existing four of combined length of 15km. It is unclear whether the operator will reinstate part or all of the entire scope under the original plan. 
09/14: Operator yet to decide on tender award. Essar's USD 34 million offer is understood to have nearly doubled the operator's budget of around USD 17 million for the scope. Both parties have been engaged in price negotiation following the priced bid opening.
08/14: Due to the narrow margin between the first two bidders, it is understood the final result of the tender cannot be confirmed at this time. In addition, It is also understood the prices are above the budget estimate of the project of around USD 20 million, according to sources close to the tender. 
07/14: The reduced scope (from nine pipelines of 111km) covers around four segments with a combined length of 30km."
Indian Ocean,India,NEC-OSN-97/2 (NEC-25),D32/D40,D32/D40,Reliance,Planned,EPIC,Pipe supply and lay,,,1 Jan 2016,1 Jan 2016,30 May 2015,-7.1,
Indian Ocean,India,NEC-OSN-97/2 (NEC-25),D32/D40,D32/D40,Reliance,Planned,Installation,Installation of subsea,,,1 Jan 2016,1 Jan 2016,29 May 2018,28.8,
Indian Ocean,India,NEC-OSN-97/2 (NEC-25),D32/D40,D32/D40,Reliance,Planned,Construction/Fabrication,Supply of subsea system,,,1 Jan 2016,1 Jan 2016,31 Jan 2018,25.0,
Indian Ocean,India,NEC-OSN-97/2 (NEC-25),D32/D40,D32/D40,Reliance,Planned,Construction/Fabrication,EPC onshore terminal,,,1 Jan 2016,1 Jan 2016,1 Jan 2018,24.0,
Indian Ocean,India,Tapti-Daman,Daman cluster,Daman cluster,ONGC,Tendering,EPIC,EPCIC for platforms and pipelines,,1 Jan 2015,19 Jan 2015,19 Jan 2015,30 Mar 2017,26.3,"10/14: ONGC has set a Notification of Award (NOA) date of January 19, 2015. 
10/14: Scope set to be completed in March 2017 over two good weather windows: From late Feb 2016 to end Apr 2016 (three pipelines, a 6km long C-24-P3 to C-24RP (riser platform); 4km long between C-24-P4 and C-24RP, and 37km long between C-24RP and TCPP; two well platforms C-24-P3 and C-24-P4, and the riser platform C-24RP. Also included in this phase will be modification works at C-24P-1 and TCPP platforms); from late Nov 2016 to March 30, 2017 (five well platforms B-12-11, C-24P-5, C-24P-2, B-12-13 and B-12-15; five pipelines comprising three between the RP and B12-11, C-24-P2 and C-24-P5, and two others connecting B-12-13, B-12-15 to the line between B-12-11 and RP. The second modification phase on TCPP and C-24P-1 platforms will also be carried out).
09/14: The buyers of bid documents are thought to include Afcons Infrastructure, Larsen & Toubro, Pipava Shipyard, Essar Offshore Subsea, Shriram EPC, ABG Shipyard, Leighton India, Das Offshore, Technip KT, Swiber Singapore, Swiber India, Nippon Steel & Sumikin, NPCC, McDermott, TL Offshore, Kencana HL, Petronash FZE, and a couple of engineering and other service providers. 
08/14: The tender scope is understood to consist of seven WHPs, one RP and a number of pipelines totalling up to 100km. These include a couple of export pipelines each measuring around 20km. Scope also includes modification works on existing platforms. Technical bid opening date is on Nov 3, 2014."
Indian Ocean,India,Godavari PML,GS-29,GS-29,ONGC,Planned,Lease,Lease of GS-29 FPSO,,,1 Oct 2015,1 Apr 2017,1 Apr 2019,23.9,03/11: 2 years contract + 3 yearly options
Indian Ocean,India,KG-OS-DW-IV,Vashishta/S1 Development,Integrated Vashishta/S1 Development,ONGC,Tendering,EPIC,Installation of subsea system (Re-tender),,,7 Nov 2014,7 Nov 2014,30 Apr 2016,17.7,07/14: Tender documents are put on sale from July 22 until August 12. A pre-bid conference is scheduled for August 27 and the bid closing date will be decided after the meeting.
Indian Ocean,India,KG-OS-DW-IV,Vashishta/S1 Development,Integrated Vashishta/S1 Development,ONGC,Tendering,EPIC,Construction of onshore terminal,,,7 Nov 2014,7 Nov 2014,,,"12/11: The terminal will be located at Odalarevu, East Godavari District, Andhra. Plant start-up is slated for 24 months after notification of award or April 30, 2014, whichever is later."
Indian Ocean,India,KG-OS-DW-IV,Vashishta/S1 Development,Integrated Vashishta/S1 Development,ONGC,Tendering,Engineering,Drilling and completion,,,1 May 2015,1 May 2015,,,
Indian Ocean,India,KG-OS-DW-IV,Vashishta/S1 Development,Integrated Vashishta/S1 Development,ONGC,Tendering,EPC,Provision of subsea production system,,30 Jan 2012,5 Mar 2015,30 Apr 2015,,,
Indian Ocean,India,KG-DWN-98/3 (KG-D6),"D6 satellite fields (D2, D6, D19, D22)",KG-D6 satellite tieback,Reliance,Tendering,EPIC,SURF for D6 satellite fields,,,30 Nov 2014,30 Jun 2016,30 Jun 2017,12.0,"04/14: It is understood the operator has lined up bidders including Allseas, Subsea 7 and Technip for the SURF package in the Block. Bids are due to close on April 26."
