FieldsBase Subsea Tree Search - Data Download,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:21 for Dirk Rook,,,,,,,,,,,,,
,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Country,Block,Field,Subsea id (within field),Project,Operator,Status,Function,Subsea type,Installation year,Tree supplier,Well water depth (m),Remark
Australia/New Zealand,Australia,AC/L9,Crux,#1,Crux FLNG,Nexus Energy,Possible,,,2019,Cameron,168,
Australia/New Zealand,Australia,AC/L9,Crux,#1,Crux FLNG,Nexus Energy,Possible,,,2019,Cameron,168,
Australia/New Zealand,Australia,AC/L9,Crux,#1,Crux FLNG,Nexus Energy,Possible,,,2019,Cameron,168,
Australia/New Zealand,Australia,AC/L9,Crux,#1,Crux FLNG,Nexus Energy,Possible,,,2019,Cameron,168,
Australia/New Zealand,Australia,WA-28-P,Dixon,#1,Dixon,Woodside,Possible,Gas Producer,Satellite,2018,,90,
Australia/New Zealand,Australia,WA-5-L,Dockrell,#1,Dockrell,Woodside,Possible,,Cluster,2018,,110,
Australia/New Zealand,Australia,WA-5-L,Dockrell,#1,Dockrell,Woodside,Possible,,Cluster,2018,,110,
Australia/New Zealand,Australia,WA-5-L,Dockrell,#1,Dockrell,Woodside,Possible,,Cluster,2018,,110,
Australia/New Zealand,Australia,WA-5-L,Dockrell,#1,Dockrell,Woodside,Possible,,Cluster,2018,,110,
Australia/New Zealand,Australia,WA-5-L,Dockrell,#1,Dockrell,Woodside,Possible,,Cluster,2018,,110,
Australia/New Zealand,Australia,WA-13-L,East Spar,#1,East Spar,WMC,Installed,Gas Producer,Satellite,1996,FMC,98,"Field reserves estimated at 3.0 Tcf gas and 240 MM bbls condensate. 1 wellhead provided by ABB, other by Dril-Quip."
Australia/New Zealand,Australia,WA-13-L,East Spar,#1,East Spar,WMC,Installed,Gas Producer,Satellite,1996,FMC,98,"Field reserves estimated at 3.0 Tcf gas and 240 MM bbls condensate. 1 wellhead provided by ABB, other by Dril-Quip."
